"time","s.num","i.num","r.num","inf.prob","act.rate","dias_rec","tm","data_processamento","data","aglomerado","taxa_ocupacao","perc_atendimento","perc_uti","perc_mortalidade","perc_nao_detectados","infectados_oficial","recuperados_oficial","disponiveis_uti","disponiveis_atendimento","regiao"
1,5390,32,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,9,0,-0.32,-6.4,"Baixada Cuiabana"
2,5384.2,37.6,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,11,0,-0.376,-7.52,"Baixada Cuiabana"
3,5376.4,45.4,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,13,0,-0.454,-9.08,"Baixada Cuiabana"
4,5365.4,56,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,16,0,-0.56,-11.2,"Baixada Cuiabana"
5,5353,68.4,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,20,0,-0.684,-13.68,"Baixada Cuiabana"
6,5338.6,82.8,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,24,0,-0.828,-16.56,"Baixada Cuiabana"
7,5321,100.2,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,29,0,-1.002,-20.04,"Baixada Cuiabana"
8,5298.6,122.4,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,35,0,-1.224,-24.48,"Baixada Cuiabana"
9,5274.4,146.2,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,42,0,-1.462,-29.24,"Baixada Cuiabana"
10,5244,176.6,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,50,0,-1.766,-35.32,"Baixada Cuiabana"
11,5208.8,211.8,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,61,0,-2.118,-42.36,"Baixada Cuiabana"
12,5165.8,254.2,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,73,0,-2.542,-50.84,"Baixada Cuiabana"
13,5119.2,300.2,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,86,0,-3.002,-60.04,"Baixada Cuiabana"
14,5058,360.6,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,103,0,-3.606,-72.12,"Baixada Cuiabana"
15,4984.8,433,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,124,0,-4.33,-86.6,"Baixada Cuiabana"
16,4914.2,503,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,144,0,-5.03,-100.6,"Baixada Cuiabana"
17,4815,601.2,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,172,0,-6.012,-120.24,"Baixada Cuiabana"
18,4705.4,709.4,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,203,0,-7.094,-141.88,"Baixada Cuiabana"
19,4575.6,837.4,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,239,0,-8.374,-167.48,"Baixada Cuiabana"
20,4429.6,981.8,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,281,0,-9.818,-196.36,"Baixada Cuiabana"
21,4256.2,1153.2,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,329,0,-11.532,-230.64,"Baixada Cuiabana"
22,4069,1336.4,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,382,0,-13.364,-267.28,"Baixada Cuiabana"
23,3857.2,1545.2,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,441,0,-15.452,-309.04,"Baixada Cuiabana"
24,3626.6,1773.8,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,507,0,-17.738,-354.76,"Baixada Cuiabana"
25,3374.2,2022,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,578,0,-20.22,-404.4,"Baixada Cuiabana"
26,3120.4,2271,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,649,0,-22.71,-454.2,"Baixada Cuiabana"
27,2862.6,2524.8,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,721,0,-25.248,-504.96,"Baixada Cuiabana"
28,2592,2790.6,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,797,0,-27.906,-558.12,"Baixada Cuiabana"
29,2324.2,3053.6,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,872,0,-30.536,-610.72,"Baixada Cuiabana"
30,2063.6,3307.8,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,945,0,-33.078,-661.56,"Baixada Cuiabana"
31,1808.6,3558.2,0,0.0486764367643165,4.41240659503586,0.772415725935331,0.036,"31052020-143835",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,1017,0,-35.582,-711.64,"Baixada Cuiabana"
