"time","s.num","i.num","r.num","inf.prob","act.rate","dias_rec","tm","data_processamento","data","aglomerado","taxa_ocupacao","perc_atendimento","perc_uti","perc_mortalidade","perc_nao_detectados","infectados_oficial","recuperados_oficial","disponiveis_uti","disponiveis_atendimento","regiao"
1,5386,4,42,0.00326581755260535,16.8831084672101,0.316192678677331,0.036,"11062020-202039",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,1,12,-0.04,-0.8,"Baixada Cuiabana"
2,5386,4,42,0.00326581755260535,16.8831084672101,0.316192678677331,0.036,"11062020-202039",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,1,12,-0.04,-0.8,"Baixada Cuiabana"
3,5386,4,42,0.00326581755260535,16.8831084672101,0.316192678677331,0.036,"11062020-202039",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,1,12,-0.04,-0.8,"Baixada Cuiabana"
4,5386,4,42,0.00326581755260535,16.8831084672101,0.316192678677331,0.036,"11062020-202039",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,1,12,-0.04,-0.8,"Baixada Cuiabana"
5,5386,4,42,0.00326581755260535,16.8831084672101,0.316192678677331,0.036,"11062020-202039",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,1,12,-0.04,-0.8,"Baixada Cuiabana"
6,5385,5,42,0.00326581755260535,16.8831084672101,0.316192678677331,0.036,"11062020-202039",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,1,12,-0.05,-1,"Baixada Cuiabana"
7,5385,5,42,0.00326581755260535,16.8831084672101,0.316192678677331,0.036,"11062020-202039",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,1,12,-0.05,-1,"Baixada Cuiabana"
8,5384,6,42,0.00326581755260535,16.8831084672101,0.316192678677331,0.036,"11062020-202039",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,2,12,-0.06,-1.2,"Baixada Cuiabana"
9,5383,7,42,0.00326581755260535,16.8831084672101,0.316192678677331,0.036,"11062020-202039",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,2,12,-0.07,-1.4,"Baixada Cuiabana"
10,5381,9,42,0.00326581755260535,16.8831084672101,0.316192678677331,0.036,"11062020-202039",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,3,12,-0.09,-1.8,"Baixada Cuiabana"
11,5381,9,42,0.00326581755260535,16.8831084672101,0.316192678677331,0.036,"11062020-202039",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,3,12,-0.09,-1.8,"Baixada Cuiabana"
12,5381,10,42,0.00326581755260535,16.8831084672101,0.316192678677331,0.036,"11062020-202039",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,3,12,-0.1,-2,"Baixada Cuiabana"
13,5381,10,42,0.00326581755260535,16.8831084672101,0.316192678677331,0.036,"11062020-202039",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,3,12,-0.1,-2,"Baixada Cuiabana"
14,5380,11,42,0.00326581755260535,16.8831084672101,0.316192678677331,0.036,"11062020-202039",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,3,12,-0.11,-2.2,"Baixada Cuiabana"
15,5380,11,42,0.00326581755260535,16.8831084672101,0.316192678677331,0.036,"11062020-202039",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,3,12,-0.11,-2.2,"Baixada Cuiabana"
16,5378,13,42,0.00326581755260535,16.8831084672101,0.316192678677331,0.036,"11062020-202039",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,4,12,-0.13,-2.6,"Baixada Cuiabana"
