Geocodigo,ers
5107065,Agua Boa
5106158,Alta Floresta
5108402,Baixada Cuiabana
5103908,Barra do Garcas
5102504,Caceres
5104559,Colider
5108907,Diamantino
5106273,Juara
5103379,Juara
5108055,Peixoto de Azevedo
5106752,Pontes e Lacerda
5107743,Porto Alegre do Norte
5100300,Rondonopolis
5100359,Sao Felix do Araguaia
5104526,Sinop
5107875,Tangara da Serra
