"municipio","inf.prob","act.rate","dias_rec","mse"
"Acorizal",0.000578408,11.26114265,0.13146263,87.6428571428571
"Agua Boa",0.0959790118649874,2.65852135758895,10.6745119510025,2.14285714285714
"Alta Floresta",0.0229444800801809,9.70333946366918,15.8288766888574,298.642857142857
"Alto Araguaia",0.054523451,1.078154525,9.024729521,21
"Alto Boa Vista",0.046074796039553,4.6239025118496,15.006717126017,97.7142857142857
"Alto Garcas",0.0336,6.822,8.9133,22.2142857142857
"Araputanga",0.00849877538107028,4.49495477412053,30.7632850025941,8.35714285714286
"Arenapolis",0.0202709969433483,9.60353849085343,7.34271614606617,7.78571428571429
"Aripuana",0.0272099021479078,3.61241263473155,2.26609660169848,45.8571428571429
"Barra do Bugres",0.084689094,0.20750504,0.489970285,15.7142857142857
"Barra do Garcas",0.0030610753239689,13.0228427185466,0.000768735175241763,108.857142857143
"Bom Jesus do Araguaia",0.00550589017109862,30.2049095414144,14.755598607828,33.3571428571429
"Caceres",0.00786521535587961,21.8827799927083,19.6419042957125,19.2857142857143
"Campo Novo do Parecis",0.00170158236796619,41.71636436747,0.00481353253507492,670.571428571429
"Campo Verde",0.13342699031296,1.07218441727626,13.8265443180381,45.1428571428571
"Campos de Julio",0.0295773073325561,6.89451260098321,9.04610541099431,25.7857142857143
"Cana Brava do Norte",0.0431324563039502,3.099006301631,27.7407957032066,28
"Canarana",0.0289011166071665,3.01123429074003,9.90057992300924,32.2142857142857
"Chapada dos Guimaraes",0.0998214607805918,2.16505265084863,12.1720733453277,8.5
"Colider",0.0558808513608763,4.09275081863241,15.0468501948153,100.214285714286
"Comodoro",0.00351720355220364,27.8206018664244,9.85703409230429,5.42857142857143
"Confresa",0.0358122697404833,3.7036386548321,8.27043305441916,558.785714285714
"Conquista do Oeste",0.0227340390605912,0.0557119530117292,83.8947759279118,0.142857142857143
"Cotriguacu",0.0214410155406071,6.19663095334048,19.6952774912994,1.64285714285714
"Cuiaba",0.0348766533733118,2.28034169960486,60.7323509235004,2996.5
"Curvelandia",0.0306,7.683,8.088,3.57142857142857
"Diamantino",0.0374703218317395,4.88991625624129,12.7606283395061,6.5
"Dom Aquino",0.0246125686233949,11.3417043239207,11.8141626929644,5.07142857142857
"Guaranta do Norte",0.0262297760959144,3.5432698507955,17.3573491467692,38.8571428571429
"Guiratinga",0.037682064,6.415540184,20.44609349,33.7857142857143
"Ipiranga do Norte",0.0306,7.683,8.088,7
"Itiquira",0.0115503956777701,5.89969872845998,67.7487953534442,8.92857142857143
"Jaciara",0.0354141908915332,3.97682182945976,10.1061385945258,119.5
"Jangada",0.0101401210152117,2.73299049979543,10.5656148813166,10.8571428571429
"Juara",0.00539970313161066,4.78931092457328,22.1101865391469,1.5
"Juina",0.0202866662251844,4.31447060205374,15.2610333027681,2.21428571428571
"Juscimeira",0.027678807771828,4.79258406000902,8.4539162974898,4.28571428571429
"Lambari do Oeste",0.0198046237798368,9.05092048882867,7.2859778885679,2.35714285714286
"Lucas do Rio Verde",0.001555362,53.92293648,39.93806395,700.928571428571
"Marcelandia",0.0143908408219495,13.9905133961205,14.4465805747198,11.2142857142857
"Matupa",0.0100940814021986,8.28100469665304,32.8919110482377,120.142857142857
"Mirassol do Oeste",0.010328233853161,0.893504547377128,0.142983514954848,20.3571428571429
"Nobres",0.0716824812885197,2.03313124916856,23.1829454610944,2
"Nossa Senhora do Livramento",0.0513807373414291,3.98579894354103,18.0022687597621,30.2142857142857
"Nova Lacerda",0.0169776138900038,8.33479523202846,11.825931012712,1.5
"Nova Mutum",0.015160058,14.80239384,12.18412346,82.1428571428571
"Nova Olimpia",0.0213362303105993,6.03004547342099,17.2894919499699,1.85714285714286
"Nova Santa Helena",0.0157981920493641,3.18021027149743,10.3781500293727,8.07142857142857
"Nova Ubirata",0.0659983919919294,1.18778601911422,18.7089651656513,6.78571428571429
"Novo Mundo",0.0912966371537244,0.640976598416087,3.92223978250038,10.6428571428571
"Novo Santo Antonio",0.0243056789216898,8.34986426428037,5.19227843368849,5.78571428571429
"Paranatinga",0.0231022398742715,2.91950998569237,89.0520251009823,5.57142857142857
"Pedra Preta",0.00162162876956943,55.1500082378639,27.4846461730063,23.0714285714286
"Peixoto de Azevedo",0.00746364694791714,14.2050273559305,13.1259854938291,119.714285714286
"Pocone",0.032109571772624,10.1802728637408,16.1015347165528,95.5
"Pontal do Araguaia",0.0097728613064401,1.87773954102276,31.8348834948782,10.7142857142857
"Pontes e Lacerda",0.00594758877503316,18.092320151928,21.1309223981213,166.285714285714
"Porto Alegre do Norte",0.0306,7.683,8.088,6.21428571428571
"Porto Esperidiao",0.0314772038133821,6.42216664819555,86.7294294008526,51.4285714285714
"Poxoreu",0.0336,6.822,8.9133,38.9285714285714
"Primavera do Leste",0.014571914,5.918697046,17.46708918,470.571428571429
"Querencia",0.005468657,0.221471469,0.022593719,940.285714285714
"Ribeirao Cascalheira",0.0088098869981686,13.281213076459,26.3143157955883,8.35714285714286
"Rio Branco",0.0306,7.683,8.088,1.14285714285714
"Rondonopolis",0.00622613525600595,16.0645838511895,88.4335350421014,184.857142857143
"Rosario Oeste",0.0033819806021774,28.5201527477035,14.1715567032478,5
"Santa Carmem",0.0366348259365274,6.01153307104267,0.801718729877921,2.57142857142857
"Santa Cruz do Xingu",0.0324176907198158,9.00500822464591,8.54675205723622,9.5
"Santo Afonso",0.0148612389572697,4.36373772893439,0.87575654098424,1.71428571428571
"Santo Antonio do Leste",0.0236185030098878,4.21892995627947,27.4217374517158,1.42857142857143
