"time","s.num","i.num","r.num","inf.prob","act.rate","dias_rec","tm","data_processamento","data","aglomerado","taxa_ocupacao","perc_atendimento","perc_uti","perc_mortalidade","perc_nao_detectados","infectados_oficial","recuperados_oficial","disponiveis_uti","disponiveis_atendimento","regiao"
1,5390,21,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-082357",2020-06-02,"Acorizal",0.058,0.2,0.01,0.005,0.6,6,3,-0.21,-4.2,"Baixada Cuiabana"
2,5387,24,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-082357",2020-06-03,"Acorizal",0.058,0.2,0.01,0.005,0.6,7,3,-0.24,-4.8,"Baixada Cuiabana"
3,5385,26,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-082357",2020-06-04,"Acorizal",0.058,0.2,0.01,0.005,0.6,7,3,-0.26,-5.2,"Baixada Cuiabana"
4,5379,33,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-082357",2020-06-05,"Acorizal",0.058,0.2,0.01,0.005,0.6,9,3,-0.33,-6.6,"Baixada Cuiabana"
5,5368,44,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-082357",2020-06-06,"Acorizal",0.058,0.2,0.01,0.005,0.6,13,3,-0.44,-8.8,"Baixada Cuiabana"
6,5361,51,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-082357",2020-06-07,"Acorizal",0.058,0.2,0.01,0.005,0.6,15,3,-0.51,-10.2,"Baixada Cuiabana"
7,5351,61,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-082357",2020-06-08,"Acorizal",0.058,0.2,0.01,0.005,0.6,17,3,-0.61,-12.2,"Baixada Cuiabana"
8,5334,78,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-082357",2020-06-09,"Acorizal",0.058,0.2,0.01,0.005,0.6,22,3,-0.78,-15.6,"Baixada Cuiabana"
9,5305,107,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-082357",2020-06-10,"Acorizal",0.058,0.2,0.01,0.005,0.6,31,3,-1.07,-21.4,"Baixada Cuiabana"
10,5276,136,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-082357",2020-06-11,"Acorizal",0.058,0.2,0.01,0.005,0.6,39,3,-1.36,-27.2,"Baixada Cuiabana"
11,5244,167,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-082357",2020-06-12,"Acorizal",0.058,0.2,0.01,0.005,0.6,48,3,-1.67,-33.4,"Baixada Cuiabana"
12,5214,194,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-082357",2020-06-13,"Acorizal",0.058,0.2,0.01,0.005,0.6,55,3,-1.94,-38.8,"Baixada Cuiabana"
13,5175,232,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-082357",2020-06-14,"Acorizal",0.058,0.2,0.01,0.005,0.6,66,3,-2.32,-46.4,"Baixada Cuiabana"
14,5136,271,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-082357",2020-06-15,"Acorizal",0.058,0.2,0.01,0.005,0.6,77,3,-2.71,-54.2,"Baixada Cuiabana"
15,5082,325,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-082357",2020-06-16,"Acorizal",0.058,0.2,0.01,0.005,0.6,93,3,-3.25,-65,"Baixada Cuiabana"
16,5008,399,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-082357",2020-06-17,"Acorizal",0.058,0.2,0.01,0.005,0.6,114,3,-3.99,-79.8,"Baixada Cuiabana"
17,4940,465,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-082357",2020-06-18,"Acorizal",0.058,0.2,0.01,0.005,0.6,133,3,-4.65,-93,"Baixada Cuiabana"
