aglomerado,suscetiveis,leitos_uti,leitos_atendimento,data,taxa_ocupacao,perc_atendimento,perc_uti,perc_mortalidade,perc_nao_detectados,inf_prob,act_rate,dias_rec,tm,regiao,mse
Ribeirao Cascalheira,10206,0,32,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Agua Boa,1e+100
Rio Branco,5156,0,18,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Caceres,1e+100
Rondolandia,4001,0,0,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Pontes e Lacerda,1e+100
Rondonopolis,232491,79,526,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0352446433142668,5.62416898540604,12.310099405456,3.6,Rondonopolis,202.285714285714
Rosario Oeste,17151,0,63,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.016164822159941,9.9900174295004,0.945793769277966,3.6,Diamantino,69
Santa Rita do Trivelato,3429,0,0,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Sinop,1e+100
Santo Antonio do Leverger,16628,0,20,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Baixada Cuiabana,1e+100
Sao Felix do Araguaia,11708,0,40,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Sao Felix do Araguaia,1e+100
Sao Jose do Povo,4063,0,0,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0336,6.822,8.9133,3.6,Rondonopolis,1e+100
Sao Jose do Xingu,5595,0,8,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Porto Alegre do Norte,1e+100
Sao Jose dos Quatro Marcos,18906,0,25,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0272952977222925,6.10984182708765,11.3225439739699,3.6,Caceres,1.21428571428571
Sao Pedro da Cipa,4727,0,0,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0302811324731064,9.28666785848589,9.72754343826495,3.6,Rondonopolis,9.28571428571429
Sapezal,25881,0,53,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0366,7.683,8.088,3.6,Tangara da Serra,1e+100
Sinop,139000,42,266,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0330444008411963,7.47367890517643,6.30986991859116,3.6,Sinop,51.2142857142857
Sorriso,90313,26,160,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.030553380204865,7.53405521715039,8.52552651934727,3.6,Sinop,108.928571428571
Tangara da Serra,103750,47,200,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.041736166,3.559643653,0.983200816,3.6,Tangara da Serra,76.0714285714286
Tapurah,13705,0,20,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Sinop,1e+100
Terra Nova do Norte,9667,0,37,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.027908568,7.806058271,7.511047218,3.6,Peixoto de Azevedo,1e+100
Uniao do Sul,3525,0,0,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Sinop,1e+100
Vale de Sao Domingos,3127,0,5,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Pontes e Lacerda,1e+100
Varzea Grande,284971,78,368,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.024343723,8.872668977,25.15981835,3.6,Baixada Cuiabana,991.642857142857
Vila Bela da Santissima Trindade,16128,0,47,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Pontes e Lacerda,1e+100
Vila Rica,26037,0,21,2020-05-22,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,Porto Alegre do Norte,1e+100
