"time","s.num","i.num","r.num","inf.prob","act.rate","dias_rec","tm","data_processamento","data","aglomerado","taxa_ocupacao","perc_atendimento","perc_uti","perc_mortalidade","perc_nao_detectados","infectados_oficial","recuperados_oficial","disponiveis_uti","disponiveis_atendimento","regiao"
1,5395,14,0,0.0306,7.683,8.088,0.036,"25052020-214250",2020-05-26,"Acorizal",0.058,0.2,0.01,0.005,0.6,4,0,-0.14,-2.8,"Baixada Cuiabana"
2,5392.6,14.6,2,0.0306,7.683,8.088,0.036,"25052020-214250",2020-05-27,"Acorizal",0.058,0.2,0.01,0.005,0.6,4,1,-0.146,-2.92,"Baixada Cuiabana"
3,5388.8,15.2,5.4,0.0306,7.683,8.088,0.036,"25052020-214250",2020-05-28,"Acorizal",0.058,0.2,0.01,0.005,0.6,4,2,-0.152,-3.04,"Baixada Cuiabana"
4,5386.4,15.6,8,0.0306,7.683,8.088,0.036,"25052020-214250",2020-05-29,"Acorizal",0.058,0.2,0.01,0.005,0.6,4,2,-0.156,-3.12,"Baixada Cuiabana"
5,5383.4,15.8,10.8,0.0306,7.683,8.088,0.036,"25052020-214250",2020-05-30,"Acorizal",0.058,0.2,0.01,0.005,0.6,5,3,-0.158,-3.16,"Baixada Cuiabana"
6,5380.2,16.4,13.6,0.0306,7.683,8.088,0.036,"25052020-214250",2020-05-31,"Acorizal",0.058,0.2,0.01,0.005,0.6,5,4,-0.164,-3.28,"Baixada Cuiabana"
7,5376.2,17.4,16.6,0.0306,7.683,8.088,0.036,"25052020-214250",2020-06-01,"Acorizal",0.058,0.2,0.01,0.005,0.6,5,5,-0.174,-3.48,"Baixada Cuiabana"
8,5373.6,18.2,18.2,0.0306,7.683,8.088,0.036,"25052020-214250",2020-06-02,"Acorizal",0.058,0.2,0.01,0.005,0.6,5,5,-0.182,-3.64,"Baixada Cuiabana"
9,5369.2,20.2,20.6,0.0306,7.683,8.088,0.036,"25052020-214250",2020-06-03,"Acorizal",0.058,0.2,0.01,0.005,0.6,6,6,-0.202,-4.04,"Baixada Cuiabana"
10,5366,21.4,22.8,0.0306,7.683,8.088,0.036,"25052020-214250",2020-06-04,"Acorizal",0.058,0.2,0.01,0.005,0.6,6,7,-0.214,-4.28,"Baixada Cuiabana"
