"aglomerado","suscetiveis","leitos_uti","leitos_atendimento","data","taxa_ocupacao","perc_atendimento","perc_uti","perc_mortalidade","perc_nao_detectados","inf_prob","act_rate","dias_rec","tm","regiao","mse"
"Mirassol do Oeste",27739,0,90,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.00905614191341403,1.12256359834283,0.0903932496613578,3.6,"Caceres",20.3571428571429
"Nobres",15336,0,41,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0693231917885896,2.11068937331252,31.9383475104937,3.6,"Diamantino",2.57142857142857
"Nortelandia",5989,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Diamantino",1e+100
"Nossa Senhora do Livramento",13216,0,16,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0607523830873759,3.13907257608774,18.0209405759707,3.6,"Baixada Cuiabana",34.2857142857143
"Nova Brasilandia",3829,0,13,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.017268701,5.024123437,67.58167405,3.6,"Baixada Cuiabana",868.5714286
"Nova Canaa do Norte",12787,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.053796996,4.15019091,14.13541749,3.6,"Colider",22.21428571
"Nova Guarita",4519,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Colider",1e+100
"Nova Lacerda",6640,0,6,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.024370982258544,8.54135010496534,12.441484475752,3.6,"Pontes e Lacerda",1.85714285714286
"Nova Marilandia",3278,0,8,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.007513109,7.801712967,0.400176674,3.6,"Tangara da Serra",862.6428571
"Nova Maringa",22041,0,6,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Diamantino",1e+100
"Nova Monte Verde",9178,0,13,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Alta Floresta",1e+100
"Nova Mutum",45378,0,37,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0146231929532614,13.9572918321881,12.7118966540033,3.6,"Sinop",105.142857142857
"Nova Olimpia",20301,0,50,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0326260752474998,4.12494699558491,9.27679008672494,3.6,"Tangara da Serra",2.42857142857143
"Nova Santa Helena",3718,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0155525982601075,4.54509477237133,15.5756143499403,3.6,"Colider",7.78571428571429
"Nova Ubirata",11982,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0494322172487714,0.997947903769507,16.3106435997691,3.6,"Sinop",19.7142857142857
"Nova Xavantina",21374,0,34,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Barra do Garcas",1e+100
"Novo Mundo",9178,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0425793792208237,0.631894367348151,4.68249892434562,3.6,"Peixoto de Azevedo",12.4285714285714
"Novo Santo Antonio",2640,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0259973728502291,5.64323830467175,5.17807968817901,3.6,"Sao Felix do Araguaia",5.92857142857143
"Paranaita",11225,0,32,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.016163788,4.999584583,11.78338213,3.6,"Alta Floresta",3.428571429
"Paranatinga",22563,0,35,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.00936196394242053,5.3098313809695,42.8577239543073,3.6,"Rondonopolis",9.14285714285714
"Pedra Preta",17626,0,31,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.00181178236935674,36.1343582411236,62.6139723095762,3.6,"Rondonopolis",45.9285714285714
"Peixoto de Azevedo",34976,0,56,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.00841916146617464,16.1621929700317,18.3775314060426,3.6,"Peixoto de Azevedo",98.5
"Pocone",32843,0,64,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0287323118703005,13.423527530465,15.0150476383425,3.6,"Baixada Cuiabana",18.6428571428571
"Pontal do Araguaia",6711,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0250076636259704,1.65375690806722,62.0326836052941,3.6,"Barra do Garcas",5.21428571428571
"Ponte Branca",1576,0,21,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Barra do Garcas",1e+100
"Pontes e Lacerda",45093,0,69,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0035929010839844,29.23153788548,22.5586336108313,3.6,"Pontes e Lacerda",131.071428571429
"Porto Alegre do Norte",12517,0,18,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Porto Alegre do Norte",6.21428571428571
"Porto dos Gauchos",5410,0,21,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.024423198,4.476805318,31.90235955,3.6,"Juara",1.071428571
"Porto Esperidiao",12017,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0287356568626068,6.93080976307134,75.2157414139205,3.6,"Caceres",51.2142857142857
"Porto Estrela",2963,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.001475121,1.938391806,0.027051638,3.6,"Tangara da Serra",5743.642857
"Poxoreu",16219,0,96,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0336,6.822,8.9133,3.6,"Rondonopolis",38.9285714285714
"Primavera do Leste",62019,22,162,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.014571914,5.918697046,17.46708918,3.6,"Rondonopolis",481.714285714286
"Querencia",17479,0,31,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.005468657,0.221471469,0.022593719,3.6,"Agua Boa",940.285714285714
"Ribeirao Cascalheira",10206,0,32,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.00923032842230196,13.3183491932108,23.0990668440139,3.6,"Agua Boa",7.28571428571429
"Rio Branco",5156,0,18,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Caceres",1.14285714285714
"Rondolandia",4001,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Pontes e Lacerda",1e+100
"Rondonopolis",232491,79,526,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0130469572378839,7.75921440009358,74.5546016955228,3.6,"Rondonopolis",313.928571428571
"Rosario Oeste",17151,0,63,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.00363659429555281,17.3172076849114,13.8042635168288,3.6,"Diamantino",6.71428571428571
"Santa Carmem",4525,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0257025809465857,4.76319961372124,0.681750948801047,3.6,"Sinop",16.8571428571429
"Santa Cruz do Xingu",2564,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0371575804949018,7.22043404210365,11.4669083200835,3.6,"Porto Alegre do Norte",7.14285714285714
"Santa Rita do Trivelato",3429,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Sinop",1e+100
"Santa Terezinha",8371,0,22,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Porto Alegre do Norte",1.785714286
"Santo Afonso",3146,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0445634907581782,4.08649947144522,1.04163592109441,3.6,"Tangara da Serra",7.28571428571429
"Santo Antonio do Leste",5174,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0266810263448893,2.96307677794653,34.9360681242761,3.6,"Rondonopolis",1.21428571428571
"Santo Antonio do Leverger",16628,0,20,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0153736756364426,2.04371741670712,14.3284473359167,3.6,"Baixada Cuiabana",3.92857142857143
"Sao Felix do Araguaia",11708,0,40,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Sao Felix do Araguaia",18.7857142857143
"Sao Jose do Povo",4063,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.02855161,8.653189786,6.502177248,3.6,"Rondonopolis",3.21428571428571
"Sao Jose do Rio Claro",20554,0,22,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0262172526599801,9.455135445367,7.44586488657777,3.6,"Diamantino",8.64285714285714
"Sao Jose do Xingu",5595,0,8,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Porto Alegre do Norte",1e+100
"Sao Jose dos Quatro Marcos",18906,0,25,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.288970439161883,0.455754381718712,5.51392244124265,3.6,"Caceres",27.4285714285714
"Sao Pedro da Cipa",4727,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.002281551,2.660194334,1.245963861,3.6,"Rondonopolis",0.357142857142857
"Sapezal",25881,0,53,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.049583781268548,2.47760209948965,6.1699711169458,3.6,"Tangara da Serra",61.4285714285714
"Serra Nova Dourada",1650,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Sao Felix do Araguaia",1e+100
"Sinop",139000,42,266,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.00910556038377744,5.68015650238258,0.538158272111432,3.6,"Sinop",2462.71428571429
"Sorriso",90313,26,160,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0161664295800277,6.54789921013293,14.1213999375512,3.6,"Sinop",2133.35714285714
"Tabapora",9489,0,15,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.036980711,5.277084777,14.43647743,3.6,"Juara",1e+100
"Tangara da Serra",103750,47,200,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.00170899967828756,1.12271282462567,0.0398927518983535,3.6,"Tangara da Serra",9220.92857142857
"Tapurah",13705,0,20,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0273954495422154,2.12996578426066,31.6139662267614,3.6,"Sinop",16.7857142857143
"Terra Nova do Norte",9667,0,37,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0226220309764914,9.67805435549846,23.7421634858076,3.6,"Peixoto de Azevedo",4.35714285714286
"Uniao do Sul",3525,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Sinop",1e+100
"Vale de Sao Domingos",3127,0,5,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Pontes e Lacerda",8.07142857142857
"Varzea Grande",284971,78,368,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.00339991,24.05127674,39.49802794,3.6,"Baixada Cuiabana",277.642857142857
"Vera",11309,0,0,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0334293165008359,3.39507635457522,52.0957333940542,3.6,"Sinop",8.5
"Vila Bela da Santissima Trindade",16128,0,47,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0346589992564173,2.03569395500897,88.4996137316952,3.6,"Pontes e Lacerda",14.5
"Vila Rica",26037,0,21,2020-06-19,0.058,0.2,0.01,0.005,0.6,0.0545707243177225,1.20264686215871,23.9976635527811,3.6,"Porto Alegre do Norte",15.2857142857143
