"Dia Juliano","Previsao","Limite inferior (95%)","Limite superior (95%)","Aglomerado"
"174",307.78312155982,273.708188123411,366.348846755382,"Peixoto de Azevedo"
"175",322.925620364574,285.055227858438,400.030736404551,"Peixoto de Azevedo"
"176",338.516233550463,296.672516249685,435.456232803035,"Peixoto de Azevedo"
"177",354.558927345766,308.561880601048,472.650476784595,"Peixoto de Azevedo"
"178",371.057614541699,320.725130423685,511.638096531873,"Peixoto de Azevedo"
"179",388.016156500154,333.164057893397,552.443234701963,"Peixoto de Azevedo"
"180",405.438365034444,345.880438289184,595.089573290734,"Peixoto de Azevedo"
"181",423.32800417447,358.876030414027,639.600356489011,"Peixoto de Azevedo"
"182",441.688791826407,372.12113865958,685.998411748584,"Peixoto de Azevedo"
"183",460.524401335857,385.484646780671,734.306169246673,"Peixoto de Azevedo"
"184",479.838462962412,399.124479287866,784.545679912763,"Peixoto de Azevedo"
"185",499.634565272754,413.042261844219,836.738632160892,"Peixoto de Azevedo"
"186",519.916256458647,427.23960631071,890.906367452737,"Peixoto de Azevedo"
"172",334.745123599558,294.236906408754,393.973915658855,"Pontes e Lacerda"
"173",366.734857749124,317.274180057739,457.807751146426,"Pontes e Lacerda"
"174",401.670865457587,342.005161365841,531.308723936996,"Pontes e Lacerda"
"175",439.816073542653,368.546356202255,615.84035926798,"Pontes e Lacerda"
"176",481.456283658104,397.021737985297,712.944581026173,"Pontes e Lacerda"
"177",526.902121777197,427.563191591453,826.353795004216,"Pontes e Lacerda"
"178",576.491150497622,460.310981605928,961.596024977982,"Pontes e Lacerda"
"179",630.590157410766,495.414246138223,1117.52457361243,"Pontes e Lacerda"
"180",689.597633812821,533.031517482136,1297.08612949773,"Pontes e Lacerda"
"181",753.946459146287,573.331270957927,1503.61670490596,"Pontes e Lacerda"
"182",824.106807752923,616.492503335004,1740.88912594339,"Pontes e Lacerda"
"183",900.589295798533,662.705342296582,2013.16584243738,"Pontes e Lacerda"
"184",983.948387602128,712.171688473538,2325.25760137976,"Pontes e Lacerda"
"185",1074.78608207306,765.105891643014,2682.58857810967,"Pontes e Lacerda"
"186",1173.75590153627,821.735462758437,3091.2686139672,"Pontes e Lacerda"
"172",373.601076827657,356.421149641714,391.334892198263,"Porto Alegre do Norte"
"173",392.864619741175,373.005379837128,413.319115884111,"Porto Alegre do Norte"
"174",412.73096819196,390.057923956641,436.050184152405,"Porto Alegre do Norte"
"175",433.207184246212,407.583733218104,459.537563451215,"Porto Alegre do Norte"
"176",454.300279110732,425.587726657438,483.790646704767,"Porto Alegre do Norte"
"177",476.017214429274,444.074791869059,508.818755328337,"Porto Alegre do Norte"
"178",498.364903522924,463.041548231439,534.631141149876,"Porto Alegre do Norte"
"179",521.350212577892,482.142204871146,561.236988244395,"Porto Alegre do Norte"
"180",544.979961783811,501.607527297714,588.64541468662,"Porto Alegre do Norte"
"181",569.260926425449,521.525040661549,616.865474226987,"Porto Alegre do Norte"
"182",594.199837930473,541.923747745982,645.906157895657,"Porto Alegre do Norte"
"183",619.803384875763,562.80801177027,675.77639553886,"Porto Alegre do Norte"
"184",646.078213954542,584.182171572472,706.48505729155,"Porto Alegre do Norte"
"185",673.030930906481,606.050542092815,738.040954990054,"Porto Alegre do Norte"
"186",700.668101412743,628.417414840791,770.452843528124,"Porto Alegre do Norte"
"172",1681.24664664158,1614.02202231284,1785.96137294135,"Rondonopolis"
"173",1794.94069543757,1714.5819268126,2012.40504064483,"Rondonopolis"
"174",1915.01014063337,1820.29457627405,2262.21403521328,"Rondonopolis"
"175",2041.74084133252,1931.3681619041,2537.2700843736,"Rondonopolis"
"176",2175.42832657661,2048.01707634536,2839.56553821232,"Rondonopolis"
"177",2316.37801605024,2170.46203388327,3171.20756056534,"Rondonopolis"
"178",2464.90544330169,2298.93019175756,3534.42239497723,"Rondonopolis"
"179",2621.33648147659,2433.6552725773,3931.55970511418,"Rondonopolis"
"180",2786.0075715619,2574.63382822432,4365.0969895175,"Rondonopolis"
"181",2959.26595313762,2721.91094313768,4837.64407058628,"Rondonopolis"
"182",3141.46989763363,2876.12263218594,5351.94765768051,"Rondonopolis"
"183",3332.98894408917,3037.52657105807,5910.89598423765,"Rondonopolis"
"184",3534.20413741235,3206.38750000869,6517.52351879785,"Rondonopolis"
"185",3745.50826913727,3382.97734999753,7175.0157498348,"Rondonopolis"
"186",3967.30612067642,3567.5753698973,7886.71404429135,"Rondonopolis"
"172",73.999324011999,62.5798683246068,80.4896720333974,"Sao Felix do Araguaia"
"173",78.290403512645,65.8090137857297,85.0833042665952,"Sao Felix do Araguaia"
"174",82.7335572477082,69.1401041588078,89.8370144365131,"Sao Felix do Araguaia"
"175",87.3308800393296,72.5743918163324,94.7529690720307,"Sao Felix do Araguaia"
"176",92.0844519361739,76.1131212450802,99.8333197004681,"Sao Felix do Araguaia"
"177",96.9963386135935,79.75752923704,105.080203246295,"Sao Felix do Araguaia"
"178",102.068591755236,83.5088450724176,110.495742411709,"Sao Felix do Araguaia"
"179",107.303249417303,87.368290695178,116.082046040241,"Sao Felix do Araguaia"
"180",112.702336376561,91.3370808815534,121.841209464435,"Sao Felix do Araguaia"
"181",118.267864463127,95.4164234019117,127.775314838604,"Sao Felix do Araguaia"
"182",124.001832878952,99.6075191763516,134.039225162525,"Sao Felix do Araguaia"
"183",129.906228502878,103.911562424368,140.788068570888,"Sao Felix do Araguaia"
"184",135.98302618305,108.329740808903,147.744905635316,"Sao Felix do Araguaia"
"185",142.234189017423,112.863235575078,154.912231823371,"Sao Felix do Araguaia"
"186",148.661668623048,117.513221683885,162.292527250169,"Sao Felix do Araguaia"
"172",1387.93153142128,1265.61820746859,1513.7611115749,"Sinop"
"173",1503.84690974819,1355.43754846884,1670.12220034464,"Sinop"
"174",1627.13695656594,1450.09273553762,1838.64896125222,"Sinop"
"175",1758.12762111827,1549.76388619567,2019.99173576884,"Sinop"
"176",1897.15307359493,1654.63492996901,2214.82048937673,"Sinop"
"177",2044.55575993136,1764.8936296199,2423.82496640938,"Sinop"
"178",2200.68645597875,1880.7316021749,2647.71484280761,"Sinop"
"179",2365.9043210628,2002.3443397548,2887.21987686246,"Sinop"
"180",2540.57695094892,2129.93123021137,3143.09005801166,"Sinop"
"181",2725.08043023043,2263.6955775753,3416.09575375303,"Sinop"
"182",2919.79938415597,2403.84462231977,3707.02785473524,"Sinop"
"183",3125.1270299113,2550.58956144389,4016.69791808267,"Sinop"
"184",3341.46522737007,2704.14556838011,4345.93830900892,"Sinop"
"185",3569.22452932773,2864.73181272937,4695.60234077053,"Sinop"
"186",3808.82423123186,3032.57147982798,5066.56441301003,"Sinop"
"172",573.521446039162,542.544794951122,619.921769503077,"Tangara da Serra"
"173",611.118743355164,572.776408614282,680.684513601069,"Tangara da Serra"
"174",649.816201598956,598.26383331678,745.48037786886,"Tangara da Serra"
"175",689.661271796007,614.607870519884,814.456526989578,"Tangara da Serra"
"176",730.705018646803,628.359564469181,887.761334994917,"Tangara da Serra"
"177",773.000874793972,639.894844776862,965.544362812271,"Tangara da Serra"
"178",816.603709303896,649.546851537831,1047.95633679925,"Tangara da Serra"
"179",861.569141952123,657.606585814243,1135.14912819833,"Tangara da Serra"
"180",907.953047515354,664.325464030114,1227.27573345051,"Tangara da Serra"
"181",955.811205423044,669.918859801954,1324.49025531228,"Tangara da Serra"
"182",1005.19905954157,674.570039291974,1426.94788472501,"Tangara da Serra"
"183",1056.17156059467,678.434120348919,1534.80488339025,"Tangara da Serra"
"184",1108.78306994417,681.641837999389,1648.21856700826,"Tangara da Serra"
"185",1163.08730838937,684.302999894826,1767.34728914043,"Tangara da Serra"
"186",1219.13733751776,686.509580550491,1892.35042565967,"Tangara da Serra"
"172",9292.23864069425,8926.88700378259,9615.06788117479,"Mato Grosso"
"173",9994.79148489669,9490.46542631275,10495.1025815774,"Mato Grosso"
"174",10735.4741885531,10079.5253619776,11432.3950832256,"Mato Grosso"
"175",11515.5661307212,10694.7773688085,12446.3714661759,"Mato Grosso"
"176",12336.3638486659,11336.9399051308,13534.638361741,"Mato Grosso"
"177",13199.180931764,12006.7392891663,14690.6191910596,"Mato Grosso"
"178",14105.3479180888,12704.9096594774,15916.8965960019,"Mato Grosso"
"179",15056.2121935566,13432.1929362229,17216.092262973,"Mato Grosso"
"180",16053.1378935256,14189.3387831957,18590.8666529776,"Mato Grosso"
"181",17097.5058067435,14977.1045706162,20043.9187392477,"Mato Grosso"
"182",18190.7132815464,15796.2553386546,21577.9857520679,"Mato Grosso"
"183",19334.1741342168,16647.5637616576,23195.8429304583,"Mato Grosso"
"184",20529.3185594159,17531.8101130557,24900.3032803975,"Mato Grosso"
"185",21777.5930426065,18449.7822309293,26694.2173392881,"Mato Grosso"
"186",23080.4602743922,19402.2754842112,28580.4729463878,"Mato Grosso"
