"aglomerado","suscetiveis","leitos_uti","leitos_atendimento","data","taxa_ocupacao","perc_atendimento","perc_uti","perc_mortalidade","perc_nao_detectados","inf_prob","act_rate","dias_rec","tm","regiao","mse","i_msa","ers_msa"
"Juara",34974,0,65,NA,0.058,0.2,0.01,0.005,0.6,0.036980711,5.277084777,14.43647743,3.6,"Juara",1e+100,"juara","juara"
"Juina",40997,16,129,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Juina",1e+100,"juina","juina"
"Juscimeira",11221,0,33,NA,0.058,0.2,0.01,0.005,0.6,0.0336,6.822,8.9133,3.6,"Rondonopolis",1e+100,"juscimeira","rondonopolis"
"Lambari do Oeste",6121,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Caceres",1e+100,"lambari do oeste","caceres"
"Lucas do Rio Verde",65534,10,101,NA,0.058,0.2,0.01,0.005,0.6,0.011363294,7.446116658,20.40108581,3.6,"Sinop",22.57142857,"lucas do rio verde","sinop"
"Luciara",2077,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Sao Felix do Araguaia",1e+100,"luciara","sao felix do araguaia"
"Matupa",16566,0,44,NA,0.058,0.2,0.01,0.005,0.6,0.027908568,7.806058271,7.511047218,3.6,"Peixoto de Azevedo",1e+100,"matupa","peixoto de azevedo"
"Mirassol do Oeste",27739,0,90,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Caceres",6.214285714,"mirassol do oeste","caceres"
"Nobres",15336,0,41,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Diamantino",1e+100,"nobres","diamantino"
"Nossa Senhora do Livramento",13216,0,16,NA,0.058,0.2,0.01,0.005,0.6,0.038250899,3.653086829,11.47915988,3.6,"Baixada Cuiabana",0.714285714,"nossa senhora do livramento","baixada cuiabana"
"Nova Guarita",4519,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Colider",1e+100,"nova guarita","colider"
"Nova Lacerda",6640,0,6,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Pontes e Lacerda",1e+100,"nova lacerda","pontes e lacerda"
"Nova Maringa",22041,0,6,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Diamantino",1e+100,"nova maringa","diamantino"
"Nova Monte Verde",9178,0,13,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Alta Floresta",1e+100,"nova monte verde","alta floresta"
"Nova Mutum",45378,0,37,NA,0.058,0.2,0.01,0.005,0.6,0.015578166,11.99163669,18.69451795,3.6,"Sinop",2.071428571,"nova mutum","sinop"
"Nova Olimpia",20301,0,50,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Tangara da Serra",1e+100,"nova olimpia","tangara da serra"
"Nova Santa Helena",3718,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Colider",1e+100,"nova santa helena","colider"
"Nova Ubirata",11982,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.040216496,8.213276233,9.177596187,3.6,"Sinop",9.857142857,"nova ubirata","sinop"
"Nova Xavantina",21374,0,34,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Barra do Garcas",1e+100,"nova xavantina","barra do garcas"
"Novo Mundo",9178,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Peixoto de Azevedo",1e+100,"novo mundo","peixoto de azevedo"
"Novo Santo Antonio",2640,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Sao Felix do Araguaia",1e+100,"novo santo antonio","sao felix do araguaia"
"Paranaita",11225,0,32,NA,0.058,0.2,0.01,0.005,0.6,0.016163788,4.999584583,11.78338213,3.6,"Alta Floresta",3.428571429,"paranaita","alta floresta"
"Pedra Preta",17626,0,31,NA,0.058,0.2,0.01,0.005,0.6,0.033660158,5.827907827,12.74171193,3.6,"Rondonopolis",1e+100,"pedra preta","rondonopolis"
"Peixoto de Azevedo",34976,0,56,NA,0.058,0.2,0.01,0.005,0.6,0.033900478,4.166551781,11.59731613,3.6,"Peixoto de Azevedo",7.642857143,"peixoto de azevedo","peixoto de azevedo"
"Pocone",32843,0,64,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Baixada Cuiabana",1e+100,"pocone","baixada cuiabana"
"Pontal do Araguaia",6711,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.021779467,2.397102273,37.23467509,3.6,"Barra do Garcas",0.214285714,"pontal do araguaia","barra do garcas"
"Ponte Branca",1576,0,21,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Barra do Garcas",1e+100,"ponte branca","barra do garcas"
