"time","s.num","i.num","r.num","inf.prob","act.rate","dias_rec","tm","data_processamento","data","aglomerado","taxa_ocupacao","perc_atendimento","perc_uti","perc_mortalidade","perc_nao_detectados","infectados_oficial","recuperados_oficial","disponiveis_uti","disponiveis_atendimento","regiao"
1,5390,21,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-233120",2020-06-03,"Acorizal",0.058,0.2,0.01,0.005,0.6,6,3,-0.21,-4.2,"Baixada Cuiabana"
2,5379,32,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-233120",2020-06-04,"Acorizal",0.058,0.2,0.01,0.005,0.6,9,3,-0.32,-6.4,"Baixada Cuiabana"
3,5372,39,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-233120",2020-06-05,"Acorizal",0.058,0.2,0.01,0.005,0.6,11,3,-0.39,-7.8,"Baixada Cuiabana"
4,5367,44,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-233120",2020-06-06,"Acorizal",0.058,0.2,0.01,0.005,0.6,13,3,-0.44,-8.8,"Baixada Cuiabana"
5,5356,55,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-233120",2020-06-07,"Acorizal",0.058,0.2,0.01,0.005,0.6,16,3,-0.55,-11,"Baixada Cuiabana"
6,5334,75,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-233120",2020-06-08,"Acorizal",0.058,0.2,0.01,0.005,0.6,21,3,-0.75,-15,"Baixada Cuiabana"
7,5316,94,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-233120",2020-06-09,"Acorizal",0.058,0.2,0.01,0.005,0.6,27,3,-0.94,-18.8,"Baixada Cuiabana"
8,5296,113,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-233120",2020-06-10,"Acorizal",0.058,0.2,0.01,0.005,0.6,32,3,-1.13,-22.6,"Baixada Cuiabana"
9,5275,134,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-233120",2020-06-11,"Acorizal",0.058,0.2,0.01,0.005,0.6,38,3,-1.34,-26.8,"Baixada Cuiabana"
10,5248,161,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-233120",2020-06-12,"Acorizal",0.058,0.2,0.01,0.005,0.6,46,3,-1.61,-32.2,"Baixada Cuiabana"
11,5213,196,10,0.026017085,8.348382605,0.477411736,0.036,"02062020-233120",2020-06-13,"Acorizal",0.058,0.2,0.01,0.005,0.6,56,3,-1.96,-39.2,"Baixada Cuiabana"
