"aglomerado","suscetiveis","leitos_uti","leitos_atendimento","data","taxa_ocupacao","perc_atendimento","perc_uti","perc_mortalidade","perc_nao_detectados","inf_prob","act_rate","dias_rec","tm","regiao","mse"
"Itanhanga",6737,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.026663023,6.941391743,8.402639483,3.6,"Sinop",53.85714286
"Itauba",3802,0,16,NA,0.058,0.2,0.01,0.005,0.6,0.096965831,1.441592123,21.41825256,3.6,"Colider",3.714285714
"Itiquira",13345,0,35,NA,0.058,0.2,0.01,0.005,0.6,0.01308958,9.209578687,92.82725535,3.6,"Rondonopolis",20.64285714
"Jaciara",27776,0,60,NA,0.058,0.2,0.01,0.005,0.6,0.0313075378721624,4.44183912172753,8.67926016685771,3.6,"Rondonopolis",110.357142857143
"Jangada",8409,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0137279390695354,1.49308768586218,7.99523890233798,3.6,"Baixada Cuiabana",0.5
"Jauru",8793,0,37,NA,0.058,0.2,0.01,0.005,0.6,0.0276,7.683,8.088,3.6,"Pontes e Lacerda",1e+100
"Juara",34974,0,65,NA,0.058,0.2,0.01,0.005,0.6,0.00740774219694438,6.15030626769734,27.426822547241,3.6,"Juara",1.42857142857143
"Juina",40997,16,129,NA,0.058,0.2,0.01,0.005,0.6,0.0218355736305097,3.89648361639163,12.1313672410725,3.6,"Juina",1.92857142857143
"Juruena",15865,0,19,NA,0.058,0.2,0.01,0.005,0.6,0.018541782,3.794934788,11.29147061,3.6,"Juina",1.357142857
"Juscimeira",11221,0,33,NA,0.058,0.2,0.01,0.005,0.6,0.0272397972695521,4.46810057106327,8.86793931702395,3.6,"Rondonopolis",1.5
"Lambari do Oeste",6121,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.045131876,7.015998304,9.434291514,3.6,"Caceres",14.3571428571429
"Lucas do Rio Verde",65534,10,101,NA,0.058,0.2,0.01,0.005,0.6,0.00155536248069123,53.9229364837621,39.9380639508357,3.6,"Sinop",98.6428571428571
"Luciara",2077,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Sao Felix do Araguaia",1e+100
"Marcelandia",10499,0,11,NA,0.058,0.2,0.01,0.005,0.6,0.0228077365305827,4.53405529951475,8.85334319297659,3.6,"Colider",10.2857142857143
"Matupa",16566,0,44,NA,0.058,0.2,0.01,0.005,0.6,0.00856754886888215,5.5781943113062,23.3812033659597,3.6,"Peixoto de Azevedo",12.0714285714286
"Mirassol do Oeste",27739,0,90,NA,0.058,0.2,0.01,0.005,0.6,0.00826254007601764,1.27334137029593,0.099514529907164,3.6,"Caceres",16.9285714285714
"Nobres",15336,0,41,NA,0.058,0.2,0.01,0.005,0.6,0.0748373126000071,1.94860764460323,26.3624364586506,3.6,"Diamantino",1.5
"Nortelandia",5989,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Diamantino",1e+100
"Nossa Senhora do Livramento",13216,0,16,NA,0.058,0.2,0.01,0.005,0.6,0.0500032595290981,3.43078763687821,18.3099435864241,3.6,"Baixada Cuiabana",18.7142857142857
"Nova Brasilandia",3829,0,13,NA,0.058,0.2,0.01,0.005,0.6,0.017268701,5.024123437,67.58167405,3.6,"Baixada Cuiabana",868.5714286
"Nova Guarita",4519,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Colider",1e+100
"Nova Lacerda",6640,0,6,NA,0.058,0.2,0.01,0.005,0.6,0.0230828167440194,7.00336929644528,15.0585827375729,3.6,"Pontes e Lacerda",0.571428571428571
"Nova Marilandia",3278,0,8,NA,0.058,0.2,0.01,0.005,0.6,0.007513109,7.801712967,0.400176674,3.6,"Tangara da Serra",862.6428571
"Nova Maringa",22041,0,6,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Diamantino",1e+100
"Nova Monte Verde",9178,0,13,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Alta Floresta",1e+100
"Nova Mutum",45378,0,37,NA,0.058,0.2,0.01,0.005,0.6,0.0151600579408888,14.8023938412281,12.1841234631079,3.6,"Sinop",50.7142857142857
"Nova Olimpia",20301,0,50,NA,0.058,0.2,0.01,0.005,0.6,0.0315778606995215,3.53355225352666,10.0054859413043,3.6,"Tangara da Serra",1
"Nova Santa Helena",3718,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.017290905429418,3.13837752159053,11.0090563711842,3.6,"Colider",1
"Nova Ubirata",11982,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0363008791861984,1.05311074555851,12.465438605104,3.6,"Sinop",8.42857142857143
"Nova Xavantina",21374,0,34,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Barra do Garcas",1e+100
"Novo Mundo",9178,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0606714438127389,0.531418662169363,4.12180977471065,3.6,"Peixoto de Azevedo",6.5
"Novo Santo Antonio",2640,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0254063952820447,8.45577380213933,6.82300101723855,3.6,"Sao Felix do Araguaia",5.92857142857143
"Paranaita",11225,0,32,NA,0.058,0.2,0.01,0.005,0.6,0.016163788,4.999584583,11.78338213,3.6,"Alta Floresta",3.428571429
"Paranatinga",22563,0,35,NA,0.058,0.2,0.01,0.005,0.6,0.035174527,3.959561107,31.99503328,3.6,"Rondonopolis",282.642857142857
"Pedra Preta",17626,0,31,NA,0.058,0.2,0.01,0.005,0.6,0.00402877842047289,28.6084428212986,29.0703928215856,3.6,"Rondonopolis",12.4285714285714
"Peixoto de Azevedo",34976,0,56,NA,0.058,0.2,0.01,0.005,0.6,0.00600787179088628,14.5109314615391,13.4116062147482,3.6,"Peixoto de Azevedo",14.2142857142857
"Pocone",32843,0,64,NA,0.058,0.2,0.01,0.005,0.6,0.030140089575047,11.127401176065,16.7291869385081,3.6,"Baixada Cuiabana",5.14285714285714
"Pontal do Araguaia",6711,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.00955930598288943,1.75379351113014,32.5864760182335,3.6,"Barra do Garcas",0.642857142857143
"Ponte Branca",1576,0,21,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Barra do Garcas",1e+100
"Pontes e Lacerda",45093,0,69,NA,0.058,0.2,0.01,0.005,0.6,0.00440251160776933,18.7168613763868,24.2071841794401,3.6,"Pontes e Lacerda",107.714285714286
"Porto Alegre do Norte",12517,0,18,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Porto Alegre do Norte",1.78571428571429
"Porto dos Gauchos",5410,0,21,NA,0.058,0.2,0.01,0.005,0.6,0.024423198,4.476805318,31.90235955,3.6,"Juara",1.071428571
"Porto Esperidiao",12017,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0335262419778578,5.86152319311248,90.5434972008105,3.6,"Caceres",19.7142857142857
"Poxoreu",16219,0,96,NA,0.058,0.2,0.01,0.005,0.6,0.0336,6.822,8.9133,3.6,"Rondonopolis",12.7857142857143
"Primavera do Leste",62019,22,162,NA,0.058,0.2,0.01,0.005,0.6,0.0145719137732936,5.91869704604914,17.4670891755095,3.6,"Rondonopolis",457.428571428571
"Querencia",17479,0,31,NA,0.058,0.2,0.01,0.005,0.6,0.005468657,0.221471469,0.022593719,3.6,"Agua Boa",555.642857142857
"Ribeirao Cascalheira",10206,0,32,NA,0.058,0.2,0.01,0.005,0.6,0.00974497572590583,12.5951543745274,25.8708931177959,3.6,"Agua Boa",3.28571428571429
"Rio Branco",5156,0,18,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Caceres",1e+100
"Rondolandia",4001,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Pontes e Lacerda",1e+100
"Rondonopolis",232491,79,526,NA,0.058,0.2,0.01,0.005,0.6,0.00873469289667737,10.2766502262467,106.433319492231,3.6,"Rondonopolis",108.928571428571
"Rosario Oeste",17151,0,63,NA,0.058,0.2,0.01,0.005,0.6,0.00315993911939864,20.6580994025551,16.1436208130286,3.6,"Diamantino",4.07142857142857
"Santa Carmem",4525,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.019872934,5.140306929,0.906265962,3.6,"Sinop",9.071428571
"Santa Cruz do Xingu",2564,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Porto Alegre do Norte",1e+100
"Santa Rita do Trivelato",3429,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Sinop",1e+100
"Santo Afonso",3146,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.041736166,3.559643653,0.983200816,3.6,"Tangara da Serra",239.2142857
"Santo Antonio do Leste",5174,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.035174527,3.959561107,31.99503328,3.6,"Rondonopolis",145.6428571
"Santo Antonio do Leverger",16628,0,20,NA,0.058,0.2,0.01,0.005,0.6,0.0148288397084229,2.17115340326059,15.4102234694049,3.6,"Baixada Cuiabana",1.21428571428571
"Sao Felix do Araguaia",11708,0,40,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Sao Felix do Araguaia",10.7142857142857
"Sao Jose do Povo",4063,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0285516103011212,8.65318978611989,6.50217724846023,3.6,"Rondonopolis",1.5
"Sao Jose do Rio Claro",20554,0,22,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Diamantino",1e+100
"Sao Jose do Xingu",5595,0,8,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Porto Alegre do Norte",1e+100
"Sao Jose dos Quatro Marcos",18906,0,25,NA,0.058,0.2,0.01,0.005,0.6,0.498414083276582,0.356820522038478,7.05206911508681,3.6,"Caceres",14.5
"Sao Pedro da Cipa",4727,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0022815507347679,2.66019433411124,1.24596386137327,3.6,"Rondonopolis",0.214285714285714
"Sapezal",25881,0,53,NA,0.058,0.2,0.01,0.005,0.6,0.0554172038079735,2.80964202863464,6.74619258937829,3.6,"Tangara da Serra",43.7857142857143
"Serra Nova Dourada",1650,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Sao Felix do Araguaia",1e+100
"Sinop",139000,42,266,NA,0.058,0.2,0.01,0.005,0.6,0.0108470525448075,4.513866021191,0.431588809136638,3.6,"Sinop",1536
"Sorriso",90313,26,160,NA,0.058,0.2,0.01,0.005,0.6,0.0172637661798936,4.95406828082377,11.4805890955109,3.6,"Sinop",782.928571428571
"Tabapora",9489,0,15,NA,0.058,0.2,0.01,0.005,0.6,0.036980711,5.277084777,14.43647743,3.6,"Juara",1e+100
"Tangara da Serra",103750,47,200,NA,0.058,0.2,0.01,0.005,0.6,0.00147512102814205,1.93839180618301,0.0270516384582361,3.6,"Tangara da Serra",5743.64285714286
"Tapurah",13705,0,20,NA,0.058,0.2,0.01,0.005,0.6,0.0259399620442969,1.99906976563309,31.4964639743298,3.6,"Sinop",8.92857142857143
"Terra Nova do Norte",9667,0,37,NA,0.058,0.2,0.01,0.005,0.6,0.0218276324200098,9.88148640872036,28.968789540534,3.6,"Peixoto de Azevedo",2.64285714285714
"Uniao do Sul",3525,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Sinop",1e+100
"Vale de Sao Domingos",3127,0,5,NA,0.058,0.2,0.01,0.005,0.6,0.0306,7.683,8.088,3.6,"Pontes e Lacerda",3.42857142857143
"Varzea Grande",284971,78,368,NA,0.058,0.2,0.01,0.005,0.6,0.00339990994036897,24.0512767372579,39.4980279443019,3.6,"Baixada Cuiabana",205.285714285714
"Vera",11309,0,0,NA,0.058,0.2,0.01,0.005,0.6,0.0348697808715749,3.51304512778321,48.7010484772685,3.6,"Sinop",0.928571428571429
"Vila Bela da Santissima Trindade",16128,0,47,NA,0.058,0.2,0.01,0.005,0.6,0.0285774559606437,2.20980051142778,93.5186846099076,3.6,"Pontes e Lacerda",2.92857142857143
"Vila Rica",26037,0,21,NA,0.058,0.2,0.01,0.005,0.6,0.0569833350271956,1.17046560426737,23.2387401723451,3.6,"Porto Alegre do Norte",13.8571428571429
