"time","s.num","i.num","r.num","inf.prob","act.rate","dias_rec","tm","data_processamento","data","aglomerado","taxa_ocupacao","perc_atendimento","perc_uti","perc_mortalidade","perc_nao_detectados","infectados_oficial","recuperados_oficial","disponiveis_uti","disponiveis_atendimento","regiao"
1,5390,32,0,0.068279714,3.519367777,0.955693425,0.036,"31052020-130237",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,9,0,-0.32,-6.4,"Baixada Cuiabana"
2,5383.8,38.2,0,0.068279714,3.519367777,0.955693425,0.036,"31052020-130237",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,11,0,-0.382,-7.64,"Baixada Cuiabana"
3,5372.2,49,0,0.068279714,3.519367777,0.955693425,0.036,"31052020-130237",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,14,0,-0.49,-9.8,"Baixada Cuiabana"
4,5361,60,0,0.068279714,3.519367777,0.955693425,0.036,"31052020-130237",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,17,0,-0.6,-12,"Baixada Cuiabana"
5,5347.8,73.6,0,0.068279714,3.519367777,0.955693425,0.036,"31052020-130237",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,21,0,-0.736,-14.72,"Baixada Cuiabana"
6,5329.2,92,0,0.068279714,3.519367777,0.955693425,0.036,"31052020-130237",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,26,0,-0.92,-18.4,"Baixada Cuiabana"
7,5307.6,113.8,0,0.068279714,3.519367777,0.955693425,0.036,"31052020-130237",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,33,0,-1.138,-22.76,"Baixada Cuiabana"
8,5279.6,142,0,0.068279714,3.519367777,0.955693425,0.036,"31052020-130237",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,41,0,-1.42,-28.4,"Baixada Cuiabana"
9,5248.8,172.8,0,0.068279714,3.519367777,0.955693425,0.036,"31052020-130237",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,49,0,-1.728,-34.56,"Baixada Cuiabana"
10,5209.4,211.2,0,0.068279714,3.519367777,0.955693425,0.036,"31052020-130237",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,60,0,-2.112,-42.24,"Baixada Cuiabana"
11,5157.4,262.6,0,0.068279714,3.519367777,0.955693425,0.036,"31052020-130237",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,75,0,-2.626,-52.52,"Baixada Cuiabana"
12,5098.6,321,0,0.068279714,3.519367777,0.955693425,0.036,"31052020-130237",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,92,0,-3.21,-64.2,"Baixada Cuiabana"
13,5028.6,390.8,0,0.068279714,3.519367777,0.955693425,0.036,"31052020-130237",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,112,0,-3.908,-78.16,"Baixada Cuiabana"
14,4944.2,474.8,0,0.068279714,3.519367777,0.955693425,0.036,"31052020-130237",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,136,0,-4.748,-94.96,"Baixada Cuiabana"
15,4846.4,571.4,0,0.068279714,3.519367777,0.955693425,0.036,"31052020-130237",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,163,0,-5.714,-114.28,"Baixada Cuiabana"
16,4724,692.8,0,0.068279714,3.519367777,0.955693425,0.036,"31052020-130237",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,198,0,-6.928,-138.56,"Baixada Cuiabana"
17,4579,835.8,0,0.068279714,3.519367777,0.955693425,0.036,"31052020-130237",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,239,0,-8.358,-167.16,"Baixada Cuiabana"
18,4406,1006.6,0,0.068279714,3.519367777,0.955693425,0.036,"31052020-130237",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,288,0,-10.066,-201.32,"Baixada Cuiabana"
19,4204,1206.8,0,0.068279714,3.519367777,0.955693425,0.036,"31052020-130237",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,345,0,-12.068,-241.36,"Baixada Cuiabana"
20,3981.8,1427.6,0,0.068279714,3.519367777,0.955693425,0.036,"31052020-130237",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,408,0,-14.276,-285.52,"Baixada Cuiabana"
21,3745.2,1661.6,0,0.068279714,3.519367777,0.955693425,0.036,"31052020-130237",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,475,0,-16.616,-332.32,"Baixada Cuiabana"
22,3477.8,1926,0,0.068279714,3.519367777,0.955693425,0.036,"31052020-130237",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,550,0,-19.26,-385.2,"Baixada Cuiabana"
23,3199.6,2202.2,0,0.068279714,3.519367777,0.955693425,0.036,"31052020-130237",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,629,0,-22.022,-440.44,"Baixada Cuiabana"
24,2907.4,2490.4,0,0.068279714,3.519367777,0.955693425,0.036,"31052020-130237",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,712,0,-24.904,-498.08,"Baixada Cuiabana"
