"time","s.num","i.num","r.num","inf.prob","act.rate","dias_rec","tm","data_processamento","data","aglomerado","taxa_ocupacao","perc_atendimento","perc_uti","perc_mortalidade","perc_nao_detectados","infectados_oficial","recuperados_oficial","disponiveis_uti","disponiveis_atendimento","regiao"
1,5390,21,10,0.009888279,9.756629532,0.595018033,0.036,"04062020-234001",2020-06-05,"Acorizal",0.058,0.2,0.01,0.005,0.6,6,3,-0.21,-4.2,"Baixada Cuiabana"
2,5389,22,10,0.009888279,9.756629532,0.595018033,0.036,"04062020-234001",2020-06-06,"Acorizal",0.058,0.2,0.01,0.005,0.6,6,3,-0.22,-4.4,"Baixada Cuiabana"
3,5385,26,10,0.009888279,9.756629532,0.595018033,0.036,"04062020-234001",2020-06-07,"Acorizal",0.058,0.2,0.01,0.005,0.6,7,3,-0.26,-5.2,"Baixada Cuiabana"
4,5383,28,10,0.009888279,9.756629532,0.595018033,0.036,"04062020-234001",2020-06-08,"Acorizal",0.058,0.2,0.01,0.005,0.6,8,3,-0.28,-5.6,"Baixada Cuiabana"
5,5380,31,10,0.009888279,9.756629532,0.595018033,0.036,"04062020-234001",2020-06-09,"Acorizal",0.058,0.2,0.01,0.005,0.6,9,3,-0.31,-6.2,"Baixada Cuiabana"
6,5379,32,10,0.009888279,9.756629532,0.595018033,0.036,"04062020-234001",2020-06-10,"Acorizal",0.058,0.2,0.01,0.005,0.6,9,3,-0.32,-6.4,"Baixada Cuiabana"
7,5377,34,10,0.009888279,9.756629532,0.595018033,0.036,"04062020-234001",2020-06-11,"Acorizal",0.058,0.2,0.01,0.005,0.6,10,3,-0.34,-6.8,"Baixada Cuiabana"
8,5376,35,10,0.009888279,9.756629532,0.595018033,0.036,"04062020-234001",2020-06-12,"Acorizal",0.058,0.2,0.01,0.005,0.6,10,3,-0.35,-7,"Baixada Cuiabana"
9,5375,37,10,0.009888279,9.756629532,0.595018033,0.036,"04062020-234001",2020-06-13,"Acorizal",0.058,0.2,0.01,0.005,0.6,11,3,-0.37,-7.4,"Baixada Cuiabana"
10,5374,38,10,0.009888279,9.756629532,0.595018033,0.036,"04062020-234001",2020-06-14,"Acorizal",0.058,0.2,0.01,0.005,0.6,11,3,-0.38,-7.6,"Baixada Cuiabana"
11,5370,42,10,0.009888279,9.756629532,0.595018033,0.036,"04062020-234001",2020-06-15,"Acorizal",0.058,0.2,0.01,0.005,0.6,12,3,-0.42,-8.4,"Baixada Cuiabana"
12,5368,43,10,0.009888279,9.756629532,0.595018033,0.036,"04062020-234001",2020-06-16,"Acorizal",0.058,0.2,0.01,0.005,0.6,12,3,-0.43,-8.6,"Baixada Cuiabana"
13,5362,49,10,0.009888279,9.756629532,0.595018033,0.036,"04062020-234001",2020-06-17,"Acorizal",0.058,0.2,0.01,0.005,0.6,14,3,-0.49,-9.8,"Baixada Cuiabana"
14,5359,52,10,0.009888279,9.756629532,0.595018033,0.036,"04062020-234001",2020-06-18,"Acorizal",0.058,0.2,0.01,0.005,0.6,15,3,-0.52,-10.4,"Baixada Cuiabana"
15,5354,56,10,0.009888279,9.756629532,0.595018033,0.036,"04062020-234001",2020-06-19,"Acorizal",0.058,0.2,0.01,0.005,0.6,16,3,-0.56,-11.2,"Baixada Cuiabana"
16,5348,62,10,0.009888279,9.756629532,0.595018033,0.036,"04062020-234001",2020-06-20,"Acorizal",0.058,0.2,0.01,0.005,0.6,18,3,-0.62,-12.4,"Baixada Cuiabana"
17,5344,65,10,0.009888279,9.756629532,0.595018033,0.036,"04062020-234001",2020-06-21,"Acorizal",0.058,0.2,0.01,0.005,0.6,19,3,-0.65,-13,"Baixada Cuiabana"
18,5341,68,10,0.009888279,9.756629532,0.595018033,0.036,"04062020-234001",2020-06-22,"Acorizal",0.058,0.2,0.01,0.005,0.6,19,3,-0.68,-13.6,"Baixada Cuiabana"
19,5331,77,10,0.009888279,9.756629532,0.595018033,0.036,"04062020-234001",2020-06-23,"Acorizal",0.058,0.2,0.01,0.005,0.6,22,3,-0.77,-15.4,"Baixada Cuiabana"
20,5323,85,10,0.009888279,9.756629532,0.595018033,0.036,"04062020-234001",2020-06-24,"Acorizal",0.058,0.2,0.01,0.005,0.6,24,3,-0.85,-17,"Baixada Cuiabana"
21,5315,92,10,0.009888279,9.756629532,0.595018033,0.036,"04062020-234001",2020-06-25,"Acorizal",0.058,0.2,0.01,0.005,0.6,26,3,-0.92,-18.4,"Baixada Cuiabana"
22,5309,99,10,0.009888279,9.756629532,0.595018033,0.036,"04062020-234001",2020-06-26,"Acorizal",0.058,0.2,0.01,0.005,0.6,28,3,-0.99,-19.8,"Baixada Cuiabana"
