"time","s.num","i.num","r.num","inf.prob","act.rate","dias_rec","tm","data_processamento","data","aglomerado","taxa_ocupacao","perc_atendimento","perc_uti","perc_mortalidade","perc_nao_detectados","infectados_oficial","recuperados_oficial","disponiveis_uti","disponiveis_atendimento","regiao"
1,5386,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
2,5387,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
3,5387,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
4,5387,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
5,5387,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
6,5386,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
7,5386,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
8,5386,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
9,5386,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
10,5386,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
11,5387,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
12,5387,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
13,5387,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
14,5388,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
15,5388,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
16,5387,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
17,5385,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
18,5385,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
19,5386,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
20,5386,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
21,5386,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
22,5386,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
23,5387,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
24,5387,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
25,5386,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
26,5386,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
27,5386,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
28,5386,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
29,5386,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
30,5386,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
31,5387,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
32,5387,0,46,0.000645505,16.65537875,0.137893035,0.036,"16062020-223235",NA,"Acorizal",0.058,0.2,0.01,0.005,0.6,0,13,0,0,"Baixada Cuiabana"
