"time","s.num","i.num","r.num","inf.prob","act.rate","dias_rec","tm","data_processamento","data","aglomerado","taxa_ocupacao","perc_atendimento","perc_uti","perc_mortalidade","perc_nao_detectados","infectados_oficial","recuperados_oficial","disponiveis_uti","disponiveis_atendimento","regiao"
1,5390,21,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-06-06,"Acorizal",0.058,0.2,0.01,0.005,0.6,6,3,-0.21,-4.2,"Baixada Cuiabana"
2,5386,24,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-06-07,"Acorizal",0.058,0.2,0.01,0.005,0.6,7,3,-0.24,-4.8,"Baixada Cuiabana"
3,5384,26,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-06-08,"Acorizal",0.058,0.2,0.01,0.005,0.6,7,3,-0.26,-5.2,"Baixada Cuiabana"
4,5382,29,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-06-09,"Acorizal",0.058,0.2,0.01,0.005,0.6,8,3,-0.29,-5.8,"Baixada Cuiabana"
5,5381,30,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-06-10,"Acorizal",0.058,0.2,0.01,0.005,0.6,9,3,-0.3,-6,"Baixada Cuiabana"
6,5378,33,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-06-11,"Acorizal",0.058,0.2,0.01,0.005,0.6,9,3,-0.33,-6.6,"Baixada Cuiabana"
7,5378,34,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-06-12,"Acorizal",0.058,0.2,0.01,0.005,0.6,10,3,-0.34,-6.8,"Baixada Cuiabana"
8,5374,38,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-06-13,"Acorizal",0.058,0.2,0.01,0.005,0.6,11,3,-0.38,-7.6,"Baixada Cuiabana"
9,5370,42,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-06-14,"Acorizal",0.058,0.2,0.01,0.005,0.6,12,3,-0.42,-8.4,"Baixada Cuiabana"
10,5364,47,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-06-15,"Acorizal",0.058,0.2,0.01,0.005,0.6,13,3,-0.47,-9.4,"Baixada Cuiabana"
11,5361,50,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-06-16,"Acorizal",0.058,0.2,0.01,0.005,0.6,14,3,-0.5,-10,"Baixada Cuiabana"
12,5357,54,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-06-17,"Acorizal",0.058,0.2,0.01,0.005,0.6,15,3,-0.54,-10.8,"Baixada Cuiabana"
13,5347,64,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-06-18,"Acorizal",0.058,0.2,0.01,0.005,0.6,18,3,-0.64,-12.8,"Baixada Cuiabana"
14,5342,68,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-06-19,"Acorizal",0.058,0.2,0.01,0.005,0.6,19,3,-0.68,-13.6,"Baixada Cuiabana"
15,5336,74,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-06-20,"Acorizal",0.058,0.2,0.01,0.005,0.6,21,3,-0.74,-14.8,"Baixada Cuiabana"
16,5330,80,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-06-21,"Acorizal",0.058,0.2,0.01,0.005,0.6,23,3,-0.8,-16,"Baixada Cuiabana"
17,5326,84,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-06-22,"Acorizal",0.058,0.2,0.01,0.005,0.6,24,3,-0.84,-16.8,"Baixada Cuiabana"
18,5322,89,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-06-23,"Acorizal",0.058,0.2,0.01,0.005,0.6,25,3,-0.89,-17.8,"Baixada Cuiabana"
19,5313,98,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-06-24,"Acorizal",0.058,0.2,0.01,0.005,0.6,28,3,-0.98,-19.6,"Baixada Cuiabana"
20,5303,108,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-06-25,"Acorizal",0.058,0.2,0.01,0.005,0.6,31,3,-1.08,-21.6,"Baixada Cuiabana"
21,5288,123,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-06-26,"Acorizal",0.058,0.2,0.01,0.005,0.6,35,3,-1.23,-24.6,"Baixada Cuiabana"
22,5274,137,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-06-27,"Acorizal",0.058,0.2,0.01,0.005,0.6,39,3,-1.37,-27.4,"Baixada Cuiabana"
23,5263,149,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-06-28,"Acorizal",0.058,0.2,0.01,0.005,0.6,43,3,-1.49,-29.8,"Baixada Cuiabana"
24,5250,162,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-06-29,"Acorizal",0.058,0.2,0.01,0.005,0.6,46,3,-1.62,-32.4,"Baixada Cuiabana"
25,5239,174,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-06-30,"Acorizal",0.058,0.2,0.01,0.005,0.6,50,3,-1.74,-34.8,"Baixada Cuiabana"
26,5224,189,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-07-01,"Acorizal",0.058,0.2,0.01,0.005,0.6,54,3,-1.89,-37.8,"Baixada Cuiabana"
27,5207,207,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-07-02,"Acorizal",0.058,0.2,0.01,0.005,0.6,59,3,-2.07,-41.4,"Baixada Cuiabana"
28,5191,223,10,0.010257352,9.251930055,0.514854178,0.036,"06062020-005105",2020-07-03,"Acorizal",0.058,0.2,0.01,0.005,0.6,64,3,-2.23,-44.6,"Baixada Cuiabana"
