"cod_ibge","municipio","classificacao_epidemiologica","ers","infectados_n","recuperados_n","obitos_n","r_025","r_500","r_975","r_mm7","n_va","p_va"
5104500,"Indiavai","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5104526,"Ipiranga do Norte","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5104542,"Itanhanga","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5104559,"Itauba","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5104609,"Itiquira","TRANSMISSAO LOCAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5104807,"Jaciara","TRANSMISSAO LOCAL","Rondonopolis","15","34","0",-999,-999,-999,-999,-0.235792393880629,1.12074128271792
5104906,"Jangada","TRANSMISSAO LOCAL","Baixada Cuiabana","3","6","1",0.174743000328284,1.21085117131143,4.01968780364123,1.14267988982542,-0.357142857142857,1.107257897911
5105002,"Jauru","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5105101,"Juara","TRANSMISSAO LOCAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5105150,"Juina","TRANSMISSAO LOCAL","Juina","7","5","1",0.567939704941005,1.34593570297824,2.6354076170196,1.73919424885414,NA,NA
5105176,"Juruena","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5105200,"Juscimeira","TRANSMISSAO LOCAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5105234,"Lambari D'Oeste","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5105259,"Lucas do Rio Verde","TRANSMISSAO COMUNITARIA","Sinop","80","40","2",1.2924171860194,1.73509920603598,2.26895732573288,1.21995529988008,0.490563073055309,1.2014474457108
5105309,"Luciara","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5105507,"Vila Bela da Santissima Trindade","TRANSMISSAO LOCAL","Pontes e Lacerda","16","2","0",0.882688345812667,1.54219071777021,2.46969162393075,2.13879015536151,5,1.7024959931491
5105580,"Marcelandia","TRANSMISSAO LOCAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5105606,"Matupa","TRANSMISSAO LOCAL","Peixoto de Azevedo","19","8","0",0.863355826590751,1.37264859018407,2.05146411525934,2.28951382010039,NA,NA
5105622,"Mirassol D'Oeste","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5105903,"Nobres","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5106000,"Nortelandia","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5106109,"Nossa Senhora de Livramento","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5106158,"Nova Bandeirantes","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5106174,"Nova Nazare","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5106182,"Nova Lacerda","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5106190,"Nova Santa Helena","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5106208,"Nova Brasilandia","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5106216,"Nova Canaa do Norte","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5106224,"Nova Mutum","TRANSMISSAO COMUNITARIA","Sinop","34","31","1",1.19328246649166,1.69687744536991,2.32557758079214,1.46151469628836,1.15128205128205,1.27486066551377
5106232,"Nova Olimpia","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5106240,"Nova Ubirata","TRANSMISSAO LOCAL","Sinop","10","10","0",0.198000043288865,0.667117430121332,1.59278429184178,0.877559928431283,NA,NA
5106257,"Nova Xavantina","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5106265,"Novo Mundo","TRANSMISSAO LOCAL","Peixoto de Azevedo","6","8","0",0.164993644027436,0.713145039484592,1.92675166884642,0.702565040005456,NA,NA
5106273,"Novo Horizonte do Norte","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5106281,"Novo Sao Joaquim","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5106299,"Paranaita","CASOS ISOLADOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5106307,"Paranatinga","TRANSMISSAO LOCAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5106315,"Novo Santo Antonio","TRANSMISSAO LOCAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
