"municipio","cod_ibge","ers","infectados_n","recuperados_n","obitos_n","r_025","r_500","r_975","r_mm7","n_va","p_va"
"Alta Floresta",5100250,"Alta Floresta","12","23","3",0.033232918333192,0.230281716659579,0.76447100171322,0.582469336290563,0.169408924408924,1.01115670394054
"Alto Araguaia",5100300,"Rondonopolis","0","8","2",0.0215201307539495,0.589174938313674,3.13554665701507,0.594416959399482,NA,NA
"Aripuana",5101407,"Juina","26","9","1",0.373631725707919,0.70310746739059,1.18599224849809,1.36723528857648,3.58730158730159,1.39092255537306
"Barra do Garcas",5101803,"Barra do Garcas","39","49","5",0.831874291237767,1.32259612770201,1.97665922244365,1.18305137060793,0.523706452277881,1.05052309592598
"Caceres",5102504,"Caceres","16","21","4",0.587740072880103,1.14189310014798,1.96839073666784,1.21563117945038,3.66233766233766,1.39925989704373
"Campo Novo do Parecis",5102637,"Tangara da Serra","12","16","0",0.606761887701996,1.08353365084927,1.76230465979425,1.34982780135426,0.846428571428571,1.08638110916494
"Campo Verde",5102678,"Rondonopolis","44","34","0",0.858085671669921,1.19640773322981,1.61382859419936,1.30700120728223,NA,NA
"Campos de Julio",5102686,"Pontes e Lacerda","9","1","0",0.737151812505343,1.48628421061711,2.62629259660819,6.08015170469733,NA,NA
"Canarana",5102702,"Agua Boa","14","2","0",0.236074883058473,0.60792321766848,1.25101381537575,1.42152979986676,3.19365079365079,1.34718357830074
"Colider",5103205,"Colider","4","7","1",0.579165572333245,1.49142591424444,3.06912841803434,1.21862165127803,NA,NA
"Confresa",5103353,"Porto Alegre do Norte","71","58","3",0.865768415045167,1.13088493748289,1.44530987329256,1.28862863248464,0.86786835870626,1.08876330775135
"Cuiaba",5103403,"Baixada Cuiabana","802","262","17",1.07481721975933,1.1941674864086,1.32204278456225,1.12549760541494,0.145867301908551,1.00854096810716
"Guaranta do Norte",5104104,"Peixoto de Azevedo","29","2","0",1.1670314824373,1.87883240752834,2.83442595796262,1.51365442575128,NA,NA
"Jaciara",5104807,"Rondonopolis","15","35","0",0.702221799010956,1.25400254203504,2.03956242751672,1.00872152163543,-0.213814371902607,0.9685763376837
"Jangada",5104906,"Baixada Cuiabana","3","6","1",0.168166297937788,1.16527905810553,3.86840111211372,1.17321538939938,-0.285714285714286,0.960587458371292
"Juina",5105150,"Juina","7","5","1",0.628437369336561,1.48930649700511,2.91613460999591,1.76336276360451,NA,NA
"Lucas do Rio Verde",5105259,"Sinop","64","39","2",0.815277849789528,1.17953531005154,1.63897640551527,1.14227161606688,0.512331780538302,1.04925924351047
"Matupa",5105606,"Peixoto de Azevedo","19","8","0",0.986141739456218,1.56786579379616,2.34322202821342,2.31908105011945,NA,NA
"Nova Mutum",5106224,"Sinop","31","27","1",1.13912910085093,1.68140416233609,2.37352616587947,1.42118680230227,1.20434327577185,1.12614940964753
"Nova Ubirata",5106240,"Sinop","11","8","0",0.0887038251861946,0.383400786664994,1.03585955821511,0.998425503991794,NA,NA
"Novo Mundo",5106265,"Peixoto de Azevedo","6","8","0",0.146275243661691,0.632239290377687,1.70816319317861,0.796514781990394,NA,NA
"Pedra Preta",5106372,"Rondonopolis","21","1","0",1.44707903911973,2.39659029976997,3.69214022568153,1.83472529239984,NA,NA
"Peixoto de Azevedo",5106422,"Peixoto de Azevedo","14","21","0",0.773406413757108,1.50261567694669,2.59020286477819,1.31493739282343,0.456462585034014,1.0430515551211
"Primavera do Leste",5107040,"Rondonopolis","133","40","0",1.03117237026802,1.30953661343421,1.6340087547548,1.26581587919024,0.403348964746361,1.03715004175581
"Querencia",5107065,"Agua Boa","9","17","1",0.619044913121011,1.20271383149127,2.07323326891362,1.82282868437654,4.76190476190476,1.52143401921785
"Rondonopolis",5107602,"Rondonopolis","213","58","12",0.836493092818774,1.03266858714983,1.25736211643136,1.23961490673421,1.16644094297794,1.12193803933709
"Rosario Oeste",5107701,"Diamantino","11","33","1",-999,-999,-999,-999,-0.363744588744589,0.951917424701258
"Sapezal",5107875,"Tangara da Serra","26","13","0",0.54390192399713,0.900787061272533,1.38773495996249,1.47718986063185,NA,NA
"Sinop",5107909,"Sinop","55","34","4",0.999894704632288,1.38204218606032,1.85107544626589,1.47751436393706,2.62093169987907,1.28354812343722
"Sorriso",5107925,"Sinop","100","36","0",0.752262383102534,0.997954630971536,1.29210989093526,1.29110017640721,1.96610343199193,1.21078942700532
"Tangara da Serra",5107958,"Tangara da Serra","92","71","1",0.8176921166893,1.0817584098794,1.39737981996206,1.09764059790663,0.0630724562327292,0.999341540809849
"Tapurah",5108006,"Sinop","26","5","0",0.965659483054277,1.55463872115114,2.34534401728863,2.0256936863557,NA,NA
"Varzea Grande",5108402,"Baixada Cuiabana","234","107","20",1.01929314689539,1.21270902491609,1.42917536256278,1.15693586902423,0.327527827286669,1.02872547092695
"Vila Bela da Santissima Trindade",5105507,"Pontes e Lacerda","16","2","0",1.11111020784872,1.94127843320103,3.10879778418455,2.15922149369825,4.14285714285714,1.45265095043478
"Vila Rica",5108600,"Porto Alegre do Norte","24","2","0",0.929871916799386,1.62462758866825,2.60170749409131,1.49498856570665,NA,NA
