"municipio","cod_ibge","classificacao_epidemiologica","infectados_n","recuperados_n","obitos_n","r_025","r_500","r_975","r_mm7","n_va","p_va","ia_cat","iv_cat","risco"
"Acorizal",5100102,"TRANSMISSAO LOCAL","5","6","1",0.960489298201222,3.23615662719947,7.72652491002296,0.853037428198255,-0.676190476190476,-0.676190476190476,"Baixo","Moderado","Moderado"
"Agua Boa",5100201,"TRANSMISSAO LOCAL","3","4","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Alta Floresta",5100250,"TRANSMISSAO COMUNITARIA","13","27","3",0.420411658519544,0.996315376838338,1.95083400140397,0.571528012732196,-0.606101279672708,-0.606101279672708,"Moderado","Moderado","Alto"
"Alto Araguaia",5100300,"TRANSMISSAO LOCAL","0","8","2",0.0302755956008175,0.828880752374043,4.4112437633708,0.528778277486148,NA,NA,"Muito baixo","Moderado","Baixo"
"Alto Boa Vista",5100359,"TRANSMISSAO LOCAL","17","0","1",6.69020672519697,11.4617062915248,18.0984425217727,2.72783761205442,NA,NA,"Baixo","Moderado","Moderado"
"Alto Garcas",5100409,"CASOS ISOLADOS","0","1","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Alto Paraguai",5100508,"CASOS ISOLADOS","0","1","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Alto Taquari",5100607,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Apiacas",5100805,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Araguaiana",5101001,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Araguainha",5101209,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Araputanga",5101258,"TRANSMISSAO LOCAL","9","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Arenapolis",5101308,"TRANSMISSAO LOCAL","7","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Aripuana",5101407,"TRANSMISSAO LOCAL","10","25","1",0.480338949676431,0.903911202283894,1.52470529607354,1.09434950772216,2.47619047619048,2.47619047619048,"Baixo","Moderado","Moderado"
"Barao de Melgaco",5101605,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Barra do Bugres",5101704,"CASOS ISOLADOS","5","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Barra do Garcas",5101803,"TRANSMISSAO COMUNITARIA","37","51","5",0.733836626719132,1.16672614010044,1.74370689327712,1.31605061432767,1.10286538857967,1.10286538857967,"Moderado","Moderado","Alto"
"Bom Jesus do Araguaia",5101852,"TRANSMISSAO LOCAL","4","2","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Brasnorte",5101902,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Caceres",5102504,"TRANSMISSAO COMUNITARIA","20","22","5",0.793659890728999,1.38664447350542,2.22059710392868,1.16904660733915,1.31618381618382,1.31618381618382,"Moderado","Moderado","Alto"
"Campinapolis",5102603,"CASOS ISOLADOS","1","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Campo Novo do Parecis",5102637,"TRANSMISSAO LOCAL","9","22","0",0.67645690588994,1.18187304294196,1.89267249573618,1.30080463789045,0.640079365079365,0.640079365079365,"Baixo","Moderado","Moderado"
"Campo Verde",5102678,"TRANSMISSAO COMUNITARIA","41","40","0",0.832786840723544,1.16113419588358,1.56624829058979,1.20049127146919,NA,NA,"Moderado","Moderado","Alto"
"Campos de Julio",5102686,"TRANSMISSAO LOCAL","10","1","0",0.293981065470581,0.75703909259257,1.55787167867191,1.83821517481085,NA,NA,"Muito baixo","Moderado","Baixo"
"Canabrava do Norte",5102694,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Canarana",5102702,"TRANSMISSAO LOCAL","10","8","0",0.488478704802919,1.08466909877772,2.03981242282299,1.1915810574507,3.11428571428571,3.11428571428571,"Baixo","Moderado","Moderado"
