"municipio","cod_ibge","classificacao_epidemiologica","infectados_n","recuperados_n","obitos_n","r_025","r_500","r_975","r_mm7","n_va","p_va","ia_cat","iv_cat","risco"
"Carlinda",5102793,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Castanheira",5102850,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Chapada Dos Guimaraes",5103007,"TRANSMISSAO LOCAL","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Claudia",5103056,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Cocalinho",5103106,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Colider",5103205,"TRANSMISSAO LOCAL","7","7","2",0.886682970990075,1.8677799581336,3.39627808203918,1.28578868931154,NA,NA,"Baixo","Moderado","Moderado"
"Colniza",5103254,"CASOS ISOLADOS","1","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Comodoro",5103304,"TRANSMISSAO LOCAL","7","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Confresa",5103353,"TRANSMISSAO COMUNITARIA","59","92","3",1.06035175309629,1.34659294976827,1.68024677312544,1.29073011050253,0.741813857651759,0.741813857651759,"Moderado","Moderado","Alto"
"Conquista D'Oeste",5103361,"TRANSMISSAO LOCAL","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Cotriguacu",5103379,"CASOS ISOLADOS","1","3","1",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Cuiaba",5103403,"TRANSMISSAO COMUNITARIA","971","284","30",1.23129198575607,1.34697989640438,1.46969721441827,1.22822740089546,0.308748378890879,0.308748378890879,"Moderado","Moderado","Alto"
"Curvelandia",5103437,"CASOS ISOLADOS","0","3","1",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Denise",5103452,"CASOS ISOLADOS","2","2","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Diamantino",5103502,"CASOS ISOLADOS","1","0","1",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Dom Aquino",5103601,"CASOS ISOLADOS","5","4","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Feliz Natal",5103700,"CASOS ISOLADOS","2","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Figueiropolis D'Oeste",5103809,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Gaucha do Norte",5103858,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"General Carneiro",5103908,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Gloria D'Oeste",5103957,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Guaranta do Norte",5104104,"TRANSMISSAO COMUNITARIA","35","3","0",1.04299420264598,1.56318137415068,2.23310022712743,1.60950577461172,NA,NA,"Moderado","Moderado","Alto"
"Guiratinga",5104203,"CASOS ISOLADOS","1","2","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Indiavai",5104500,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Ipiranga do Norte",5104526,"CASOS ISOLADOS","0","5","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Itanhanga",5104542,"CASOS ISOLADOS","1","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Itauba",5104559,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Itiquira",5104609,"TRANSMISSAO LOCAL","6","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Jaciara",5104807,"TRANSMISSAO LOCAL","15","34","0",-999,-999,-999,-999,-0.137501795590031,-0.137501795590031,"Muito baixo","Moderado","Baixo"
"Jangada",5104906,"TRANSMISSAO LOCAL","3","6","1",0.179718357039082,1.24532703866889,4.13413805716548,1.12431383355529,-0.428571428571429,-0.428571428571429,"Baixo","Moderado","Moderado"
"Jauru",5105002,"CASOS ISOLADOS","0","1","1",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Juara",5105101,"TRANSMISSAO LOCAL","6","0","1",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Juina",5105150,"TRANSMISSAO LOCAL","6","6","1",0.118508988359163,0.512226381087871,1.3839162862319,1.37361852372699,NA,NA,"Muito baixo","Moderado","Baixo"
"Juruena",5105176,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Juscimeira",5105200,"TRANSMISSAO LOCAL","5","4","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Lambari D'Oeste",5105234,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Lucas do Rio Verde",5105259,"TRANSMISSAO COMUNITARIA","84","41","2",1.10617348287825,1.47163949535603,1.9099531220772,1.25301990978892,0.42729776693286,0.42729776693286,"Moderado","Moderado","Alto"
"Luciara",5105309,"CASOS ISOLADOS","0","1","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Marcelandia",5105580,"TRANSMISSAO LOCAL","4","3","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Matupa",5105606,"TRANSMISSAO LOCAL","19","8","0",0.805364904941884,1.28044888017676,1.91366890833608,2.26281577591603,NA,NA,"Baixo","Moderado","Moderado"
"Mirassol D'Oeste",5105622,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Nobres",5105903,"CASOS ISOLADOS","3","1","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Nortelandia",5106000,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Nossa Senhora de Livramento",5106109,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Nova Bandeirantes",5106158,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Nova Brasilandia",5106208,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Nova Canaa do Norte",5106216,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Nova Guarita",5108808,"CASOS ISOLADOS","1","3","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Nova Lacerda",5106182,"CASOS ISOLADOS","3","4","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Nova Marilandia",5108857,"CASOS ISOLADOS","2","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Nova Maringa",5108907,"CASOS ISOLADOS","1","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Nova Monte Verde",5108956,"CASOS ISOLADOS","0","1","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Nova Mutum",5106224,"TRANSMISSAO COMUNITARIA","34","34","2",1.12238978232182,1.56492044978989,2.110913611951,1.51299089878586,1.25934065934066,1.25934065934066,"Moderado","Moderado","Alto"
"Nova Nazare",5106174,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Nova Olimpia",5106232,"CASOS ISOLADOS","2","2","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Nova Santa Helena",5106190,"CASOS ISOLADOS","5","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Nova Ubirata",5106240,"TRANSMISSAO LOCAL","10","10","0",0.0486131067038,0.336856051932262,1.11826803790289,0.700558178502994,NA,NA,"Muito baixo","Moderado","Baixo"
"Nova Xavantina",5106257,"CASOS ISOLADOS","3","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Novo Horizonte do Norte",5106273,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Novo Mundo",5106265,"TRANSMISSAO LOCAL","0","14","0",0.180908748919306,0.781934223294767,2.11260400934735,0.629699716002788,NA,NA,"Muito baixo","Moderado","Baixo"
"Novo Santo Antonio",5106315,"TRANSMISSAO LOCAL","6","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Novo Sao Joaquim",5106281,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Paranaita",5106299,"CASOS ISOLADOS","2","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Paranatinga",5106307,"TRANSMISSAO LOCAL","17","2","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Pedra Preta",5106372,"TRANSMISSAO LOCAL","20","4","0",0.925996393197789,1.51113583798228,2.30282087979256,1.87324244495544,NA,NA,"Baixo","Moderado","Moderado"
"Peixoto de Azevedo",5106422,"TRANSMISSAO COMUNITARIA","8","27","0",0.476133729642896,1.00296618601504,1.82374377653841,1.30789365862235,0.765986394557823,0.765986394557823,"Moderado","Moderado","Alto"
"Planalto da Serra",5106455,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Pocone",5106505,"CASOS ISOLADOS","2","3","1",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Pontal do Araguaia",5106653,"TRANSMISSAO LOCAL","5","4","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Ponte Branca",5106703,"CASOS ISOLADOS","0","0","1",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Pontes E Lacerda",5106752,"TRANSMISSAO COMUNITARIA","0","0","0",NA,NA,NA,NA,NA,NA,"Moderado","Moderado","Alto"
"Porto Alegre do Norte",5106778,"CASOS ISOLADOS","1","2","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Porto Dos Gauchos",5106802,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Porto Esperidiao",5106828,"TRANSMISSAO LOCAL","8","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Porto Estrela",5106851,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Poxoreu",5107008,"CASOS ISOLADOS","0","2","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Primavera do Leste",5107040,"TRANSMISSAO COMUNITARIA","139","43","1",0.834041670344676,1.07085239743982,1.34875694496258,1.2800029498974,0.607937172718027,0.607937172718027,"Moderado","Moderado","Alto"
"Querencia",5107065,"TRANSMISSAO LOCAL","13","17","1",0.880779183438536,1.53885512089044,2.46434993980579,1.93270363689466,6.35714285714286,6.35714285714286,"Moderado","Moderado","Alto"
"Reserva do Cabacal",5107156,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Ribeirao Cascalheira",5107180,"CASOS ISOLADOS","6","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Ribeiraozinho",5107198,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Rio Branco",5107206,"CASOS ISOLADOS","0","3","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Rondolandia",5107578,"CASOS ISOLADOS","0","2","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Rondonopolis",5107602,"TRANSMISSAO COMUNITARIA","241","59","12",0.951422821085288,1.15733081717105,1.39100737998157,1.20039838102429,0.604787522874048,0.604787522874048,"Moderado","Moderado","Alto"
"Rosario Oeste",5107701,"TRANSMISSAO LOCAL","11","33","1",0.221420168342028,0.746026370640061,1.78118428750858,0.746551247624821,-0.439857761286333,-0.439857761286333,"Muito baixo","Moderado","Baixo"
"Salto do Ceu",5107750,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Santa Carmem",5107248,"CASOS ISOLADOS","1","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Santa Cruz do Xingu",5107743,"CASOS ISOLADOS","1","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Santa Rita do Trivelato",5107768,"CASOS ISOLADOS","1","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Santa Terezinha",5107776,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Santo Afonso",5107263,"CASOS ISOLADOS","2","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Santo Antonio de Leverger",5107800,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Santo Antonio do Leste",5107792,"CASOS ISOLADOS","3","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Sao Felix do Araguaia",5107859,"CASOS ISOLADOS","0","1","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Sao Jose do Povo",5107297,"CASOS ISOLADOS","2","1","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Sao Jose do Rio Claro",5107305,"CASOS ISOLADOS","2","0","1",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Sao Jose do Xingu",5107354,"CASOS ISOLADOS","2","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Sao Jose Dos Quatro Marcos",5107107,"TRANSMISSAO LOCAL","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Sao Pedro da Cipa",5107404,"TRANSMISSAO LOCAL","0","6","1",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Sapezal",5107875,"TRANSMISSAO LOCAL","14","27","0",0.583462173758757,0.982019382672115,1.5308394076929,1.19706657276742,NA,NA,"Muito baixo","Moderado","Baixo"
"Serra Nova Dourada",5107883,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Sinop",5107909,"TRANSMISSAO COMUNITARIA","48","50","6",0.958445604857487,1.29518980958583,1.70290622234512,1.44161076079069,1.79474122368859,1.79474122368859,"Moderado","Moderado","Alto"
"Sorriso",5107925,"TRANSMISSAO COMUNITARIA","87","53","0",0.796095855794479,1.05318783133511,1.36047328931915,1.19356260835018,0.860680691467152,0.860680691467152,"Moderado","Moderado","Alto"
"Tabapora",5107941,"CASOS ISOLADOS","1","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Tangara da Serra",5107958,"TRANSMISSAO COMUNITARIA","51","124","1",0.921605243678591,1.19047353805766,1.50717641578794,1.17831248808889,0.177554978260752,0.177554978260752,"Moderado","Moderado","Alto"
"Tapurah",5108006,"TRANSMISSAO LOCAL","31","5","0",0.854483808124128,1.35854297664071,2.03038285657823,1.91044460447478,4.26190476190476,4.26190476190476,"Moderado","Moderado","Alto"
"Terra Nova do Norte",5108055,"CASOS ISOLADOS","1","1","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Tesouro",5108105,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Torixoreu",5108204,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Uniao do Sul",5108303,"CASOS ISOLADOS","0","1","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Vale de Sao Domingos",5108352,"CASOS ISOLADOS","0","1","1",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Varzea Grande",5108402,"TRANSMISSAO COMUNITARIA","246","107","22",0.804168095873054,0.968010756130705,1.15273216825091,1.1407715193266,0.174138750728564,0.174138750728564,"Moderado","Moderado","Alto"
"Vera",5108501,"CASOS ISOLADOS","5","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Baixo"
"Vila Bela da Santissima Trindade",5105507,"TRANSMISSAO LOCAL","18","2","0",0.713287496956471,1.2737632691623,2.07170210446168,1.85077635353416,5.22857142857143,5.22857142857143,"Moderado","Moderado","Alto"
"Vila Rica",5108600,"TRANSMISSAO LOCAL","25","2","1",0.665036476296333,1.1875983243417,1.93155981755695,1.44640299854631,NA,NA,"Baixo","Moderado","Moderado"
