"municipio","cod_ibge","classificacao_epidemiologica","infectados_n","recuperados_n","obitos_n","r_025","r_500","r_975","r_mm7","n_va","p_va","ia_cat","iv_cat","risco"
"Acorizal",5100102,"TRANSMISSAO LOCAL","0","12","1",0.452529038737041,1.30196466051421,2.85473060114938,1.65602368964657,-0.257142857142857,-0.257142857142857,"Baixo","Alto","Alto"
"Agua Boa",5100201,"TRANSMISSAO LOCAL","2","6","1",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Alta Floresta",5100250,"TRANSMISSAO COMUNITARIA","65","31","3",1.51099710805629,1.96020936224221,2.49073667899005,2.06441123541181,18.8721088435374,18.8721088435374,"Alto","Alto","Muito alto"
"Alto Araguaia",5100300,"TRANSMISSAO LOCAL","2","8","2",0.608311131004114,2.62927743729757,7.10369477411585,1.59536269935501,-0.428571428571428,-0.428571428571428,"Baixo","Alto","Alto"
"Alto Boa Vista",5100359,"TRANSMISSAO LOCAL","18","0","1",0.722251482619223,1.23736600413586,1.95384499782617,2.99862656071411,NA,NA,"Baixo","Alto","Alto"
"Alto Garcas",5100409,"CASOS ISOLADOS","6","1","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Alto Paraguai",5100508,"CASOS ISOLADOS","0","1","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Alto Taquari",5100607,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Apiacas",5100805,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Araguaiana",5101001,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Araguainha",5101209,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Araputanga",5101258,"TRANSMISSAO LOCAL","9","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Arenapolis",5101308,"TRANSMISSAO LOCAL","7","4","0",0.391613777455473,0.928068526059907,1.81720334580795,1.98460591582628,NA,NA,"Muito baixo","Alto","Alto"
"Aripuana",5101407,"TRANSMISSAO LOCAL","4","33","1",0.0587682384539577,0.254011468015813,0.686279778738011,0.808978574100755,-0.458106272812155,-0.458106272812155,"Muito baixo","Alto","Alto"
"Barao de Melgaco",5101605,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Barra do Bugres",5101704,"CASOS ISOLADOS","6","0","1",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Barra do Garcas",5101803,"TRANSMISSAO COMUNITARIA","47","52","7",0.593233100046347,1.05937442632116,1.72301108185182,0.963994819087525,0.438201596428045,0.438201596428045,"Moderado","Alto","Alto"
"Bom Jesus do Araguaia",5101852,"TRANSMISSAO LOCAL","16","2","0",0.853661601063361,1.56233096297255,2.58512324034423,1.84095141130771,NA,NA,"Baixo","Alto","Alto"
"Brasnorte",5101902,"CASOS ISOLADOS","2","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Caceres",5102504,"TRANSMISSAO COMUNITARIA","22","33","5",0.756187645520636,1.21740490805744,1.83658960688704,1.31652941563477,0.530312544598259,0.530312544598259,"Moderado","Alto","Alto"
"Campinapolis",5102603,"CASOS ISOLADOS","4","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
"Campo Novo do Parecis",5102637,"TRANSMISSAO LOCAL","34","23","0",0.949772513297979,1.39209490300255,1.95430893785131,1.37387690255358,0.557570207570208,0.557570207570208,"Baixo","Alto","Alto"
"Campo Verde",5102678,"TRANSMISSAO COMUNITARIA","63","71","0",0.952495701824352,1.25025559684113,1.60445029585478,1.22488719031544,0.421736219803904,0.421736219803904,"Moderado","Alto","Alto"
"Campos de Julio",5102686,"TRANSMISSAO LOCAL","9","6","0",0.421344512990252,1.08501636754194,2.23279918623538,1.02406761774508,NA,NA,"Baixo","Alto","Alto"
"Canabrava do Norte",5102694,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Alto","Alto"
