"municipio";"cod_ibge";"classificacao_epidemiologica";"infectados_n";"recuperados_n";"obitos_n";"r_025";"r_500";"r_975";"r_mm7";"n_va";"p_va";"to_uti";"ia_cat";"iv_cat";"risco"
"Acorizal";5100102;"TRANSMISSAO LOCAL";"6";"12";"1";0,63547008447963;1,50597302395785;2,94876848097752;1,36830885954262;-0,0119047619047619;-0,0119047619047619;0,824;"Baixo";"Alto";"Alto"
"Agua Boa";5100201;"TRANSMISSAO LOCAL";"10";"9";"1";1,19550793069447;2,24973013681675;3,7948146296603;1,70414385116634;1,88095238095238;1,88095238095238;0,824;"Moderado";"Alto";"Alto"
"Alta Floresta";5100250;"TRANSMISSAO COMUNITARIA";"55";"55";"3";0,179720732622823;0,313999439277294;0,502844282595167;1,20553546625626;13,6089773614364;13,6089773614364;0,824;"Moderado";"Alto";"Alto"
"Alto Araguaia";5100300;"TRANSMISSAO LOCAL";"9";"8";"2";0,688534772732762;1,45038473847348;2,63730739606173;2,21843829610627;2;2;0,824;"Moderado";"Alto";"Alto"
"Alto Boa Vista";5100359;"TRANSMISSAO LOCAL";"6";"13";"1";0,0609041110778946;0,422024425000178;1,4010032563908;0,544200614974796;3,33154761904762;3,33154761904762;0,824;"Baixo";"Alto";"Alto"
"Alto Garcas";5100409;"CASOS ISOLADOS";"5";"3";"0";;;;;;;0,824;"Muito baixo";"Alto";"Alto"
"Alto Paraguai";5100508;"CASOS ISOLADOS";"2";"2";"0";;;;;;;0,824;"Muito baixo";"Alto";"Alto"
"Alto Taquari";5100607;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,824;"Muito baixo";"Alto";"Alto"
"Apiacas";5100805;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,824;"Muito baixo";"Alto";"Alto"
"Araguaiana";5101001;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,824;"Muito baixo";"Alto";"Alto"
"Araguainha";5101209;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,824;"Muito baixo";"Alto";"Alto"
"Araputanga";5101258;"TRANSMISSAO LOCAL";"6";"6";"0";-999;-999;-999;-999;;;0,824;"Muito baixo";"Alto";"Alto"
"Arenapolis";5101308;"TRANSMISSAO LOCAL";"2";"12";"0";0,314472478208874;0,904764154969942;1,98381568897243;0,96781304008899;;;0,824;"Muito baixo";"Alto";"Alto"
"Aripuana";5101407;"TRANSMISSAO LOCAL";"7";"44";"2";0,884401206634735;1,51516198089066;2,39249474073522;1,07294279211842;-0,154916512059369;-0,154916512059369;0,824;"Baixo";"Alto";"Alto"
"Barao de Melgaco";5101605;"CASOS ISOLADOS";"3";"0";"0";;;;;;;0,824;"Muito baixo";"Alto";"Alto"
"Barra do Bugres";5101704;"CASOS ISOLADOS";"3";"6";"1";0,261759816247822;0,881941907808158;2,1056910727371;1,39389697796505;;;0,824;"Muito baixo";"Alto";"Alto"
