"municipio";"cod_ibge";"classificacao_epidemiologica";"infectados_n";"recuperados_n";"obitos_n";"r_025";"r_500";"r_975";"r_mm7";"n_va";"p_va";"ia_cat";"iv_cat";"risco";"to_uti"
"Cuiaba";5103403;"TRANSMISSAO COMUNITARIA";"1391";"406";"60";0,997550191248737;1,08391437040778;1,17512524723439;1,17424329856;0,529475279167169;0,529475279167169;"Moderado";"Alto";"Alto";0,759
"Curvelandia";5103437;"CASOS ISOLADOS";"2";"3";"1";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Denise";5103452;"CASOS ISOLADOS";"2";"2";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Diamantino";5103502;"CASOS ISOLADOS";"8";"0";"1";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Dom Aquino";5103601;"CASOS ISOLADOS";"4";"6";"1";-999;-999;-999;-999;;;"Muito baixo";"Alto";"Alto";0,759
"Feliz Natal";5103700;"CASOS ISOLADOS";"9";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Figueiropolis D'Oeste";5103809;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Gaucha do Norte";5103858;"CASOS ISOLADOS";"2";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"General Carneiro";5103908;"CASOS ISOLADOS";"2";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Gloria D'Oeste";5103957;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Guaranta do Norte";5104104;"TRANSMISSAO COMUNITARIA";"26";"27";"0";0,459693163799671;0,787549360447977;1,24356849413128;1,08009728336995;0,776638849871932;0,776638849871932;"Moderado";"Alto";"Alto";0,759
"Guiratinga";5104203;"CASOS ISOLADOS";"5";"2";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
"Indiavai";5104500;"CASOS ISOLADOS";"0";"0";"0";;;;;;;"Muito baixo";"Alto";"Alto";0,759
