"municipio";"cod_ibge";"classificacao_epidemiologica";"infectados_n";"recuperados_n";"obitos_n";"r_025";"r_500";"r_975";"r_mm7";"n_va";"p_va";"to_uti";"ia_cat";"iv_cat";"risco"
"Acorizal";5100102;"TRANSMISSAO LOCAL";"0";"12";"1";0,086495609132851;0,599356251380879;1,98969540666381;1,19242845195308;-0,19047619047619;-0,19047619047619;0,74;"Muito baixo";"Alto";"Alto"
"Agua Boa";5100201;"TRANSMISSAO LOCAL";"4";"7";"1";0,52641461884322;1,51453977942439;3,32082980906198;1,47976751301583;1,11904761904762;1,11904761904762;0,74;"Moderado";"Alto";"Alto"
"Alta Floresta";5100250;"TRANSMISSAO COMUNITARIA";"52";"48";"3";0,994277783420129;1,29274812338741;1,64572828271704;2,21013472395263;22,9333333333333;22,9333333333333;0,74;"Moderado";"Alto";"Alto"
"Alto Araguaia";5100300;"TRANSMISSAO LOCAL";"7";"8";"2";1,59231696601627;3,53574678182578;6,6492723150792;2,32121276178764;0;0;0,74;"Baixo";"Alto";"Alto"
"Alto Boa Vista";5100359;"TRANSMISSAO LOCAL";"7";"12";"1";0,0280349364457207;0,194263206933433;0,644899606250381;1,03838706288238;7,7327380952381;7,7327380952381;0,74;"Baixo";"Alto";"Alto"
"Alto Garcas";5100409;"CASOS ISOLADOS";"6";"1";"0";;;;;;;0,74;"Muito baixo";"Alto";"Alto"
"Alto Paraguai";5100508;"CASOS ISOLADOS";"2";"2";"0";;;;;;;0,74;"Muito baixo";"Alto";"Alto"
"Alto Taquari";5100607;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,74;"Muito baixo";"Alto";"Alto"
"Apiacas";5100805;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,74;"Muito baixo";"Alto";"Alto"
"Araguaiana";5101001;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,74;"Muito baixo";"Alto";"Alto"
"Araguainha";5101209;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,74;"Muito baixo";"Alto";"Alto"
"Araputanga";5101258;"TRANSMISSAO LOCAL";"10";"0";"0";0,10222133803072;0,708324949525799;2,35144105905262;0,792224844794391;;;0,74;"Muito baixo";"Alto";"Alto"
"Arenapolis";5101308;"TRANSMISSAO LOCAL";"5";"8";"0";0,460458738154815;1,09122121598322;2,13666425379167;1,32375935797458;;;0,74;"Baixo";"Alto";"Alto"
"Aripuana";5101407;"TRANSMISSAO LOCAL";"4";"39";"2";0,527145767691603;1,11042202469494;2,01913612353648;0,843097601276595;-0,476865291571174;-0,476865291571174;0,74;"Baixo";"Alto";"Alto"
"Barao de Melgaco";5101605;"CASOS ISOLADOS";"3";"0";"0";;;;;;;0,74;"Muito baixo";"Alto";"Alto"
"Barra do Bugres";5101704;"CASOS ISOLADOS";"3";"4";"1";;;;;;;0,74;"Muito baixo";"Alto";"Alto"
"Barra do Garcas";5101803;"TRANSMISSAO COMUNITARIA";"63";"52";"7";1,03300975120152;1,53611668791902;2,18105811208066;1,10984389785288;-0,0842473831637919;-0,0842473831637919;0,74;"Moderado";"Alto";"Alto"
"Bom Jesus do Araguaia";5101852;"TRANSMISSAO LOCAL";"11";"8";"0";0,442491810357959;0,892175234334989;1,57649068467079;1,79407979355728;;;0,74;"Muito baixo";"Alto";"Alto"
"Brasnorte";5101902;"CASOS ISOLADOS";"3";"0";"0";;;;;;;0,74;"Muito baixo";"Alto";"Alto"
"Caceres";5102504;"TRANSMISSAO COMUNITARIA";"41";"33";"5";1,05378134247786;1,54454210371781;2,16832374838302;1,31433302610004;0,804808881594596;0,804808881594596;0,74;"Moderado";"Alto";"Alto"
"Campinapolis";5102603;"CASOS ISOLADOS";"4";"0";"0";;;;;;;0,74;"Muito baixo";"Alto";"Alto"
"Campo Novo do Parecis";5102637;"TRANSMISSAO LOCAL";"24";"41";"0";0,892308938000769;1,27586878395845;1,75628242988048;1,47047938802578;1,09324960753532;1,09324960753532;0,74;"Moderado";"Alto";"Alto"
"Campo Verde";5102678;"TRANSMISSAO COMUNITARIA";"69";"76";"0";-999;-999;-999;-999;0,456382234148077;0,456382234148077;0,74;"Moderado";"Alto";"Alto"
"Campos de Julio";5102686;"TRANSMISSAO LOCAL";"21";"16";"1";1,55994637982499;2,37843406159161;3,44316292195624;1,54459238421965;0,423809523809524;0,423809523809524;0,74;"Baixo";"Alto";"Alto"
"Canabrava do Norte";5102694;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,74;"Muito baixo";"Alto";"Alto"
"Canarana";5102702;"TRANSMISSAO LOCAL";"14";"15";"1";0,625673450067725;1,17740449919541;1,98603012221574;1,30524465725842;0,565532879818594;0,565532879818594;0,74;"Baixo";"Alto";"Alto"
"Carlinda";5102793;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,74;"Muito baixo";"Alto";"Alto"
"Castanheira";5102850;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,74;"Muito baixo";"Alto";"Alto"
"Chapada Dos Guimaraes";5103007;"TRANSMISSAO LOCAL";"0";"0";"0";;;;;;;0,74;"Muito baixo";"Alto";"Alto"
"Claudia";5103056;"CASOS ISOLADOS";"3";"0";"0";;;;;;;0,74;"Muito baixo";"Alto";"Alto"
"Cocalinho";5103106;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,74;"Muito baixo";"Alto";"Alto"
"Colider";5103205;"TRANSMISSAO LOCAL";"29";"7";"2";0,826885783008409;1,2995028533457;1,92522617508415;1,55637655537143;;;0,74;"Baixo";"Alto";"Alto"
"Colniza";5103254;"CASOS ISOLADOS";"2";"0";"0";;;;;;;0,74;"Muito baixo";"Alto";"Alto"
"Comodoro";5103304;"TRANSMISSAO LOCAL";"5";"8";"1";1,05701848903167;2,3471141743056;4,41394767853859;2,0158038326827;;;0,74;"Baixo";"Alto";"Alto"
"Confresa";5103353;"TRANSMISSAO COMUNITARIA";"71";"151";"4";0,754267248150178;0,978507313861495;1,24333864751418;1,04720520413878;0,0464148770092016;0,0464148770092016;0,74;"Moderado";"Alto";"Alto"
"Conquista D'Oeste";5103361;"TRANSMISSAO LOCAL";"0";"0";"0";;;;;;;0,74;"Muito baixo";"Alto";"Alto"
"Cotriguacu";5103379;"CASOS ISOLADOS";"3";"4";"1";;;;;;;0,74;"Muito baixo";"Alto";"Alto"
"Cuiaba";5103403;"TRANSMISSAO COMUNITARIA";"1468";"406";"67";1,05409371227875;1,1423871226797;1,23547871676848;1,15823107724237;0,432297871006039;0,432297871006039;0,74;"Moderado";"Alto";"Alto"
"Curvelandia";5103437;"CASOS ISOLADOS";"2";"3";"1";;;;;;;0,74;"Muito baixo";"Alto";"Alto"
"Denise";5103452;"CASOS ISOLADOS";"2";"2";"0";;;;;;;0,74;"Muito baixo";"Alto";"Alto"
"Diamantino";5103502;"CASOS ISOLADOS";"10";"0";"1";;;;;;;0,74;"Muito baixo";"Alto";"Alto"
