"municipio","cod_ibge","classificacao_epidemiologica","infectados_n","recuperados_n","obitos_n","r_025","r_500","r_975","r_mm7","n_va","p_va","ia_cat","iv_cat","risco"
"Acorizal",5100102,"TRANSMISSAO LOCAL","0","12","1",0.477172000230029,1.37286456360955,3.01018806410759,1.52843543450903,-0.4,-0.4,"Baixo","Moderado","Moderado"
"Agua Boa",5100201,"TRANSMISSAO LOCAL","3","6","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Alta Floresta",5100250,"TRANSMISSAO COMUNITARIA","65","31","3",3.07531619686365,3.98959307652273,5.06936963027936,1.81727871461429,10.1637755102041,10.1637755102041,"Muito alto","Moderado","Muito alto"
"Alto Araguaia",5100300,"TRANSMISSAO LOCAL","1","8","2",0.281168098843491,1.9483053465973,6.46782975896539,1.30391948521445,NA,NA,"Baixo","Moderado","Moderado"
"Alto Boa Vista",5100359,"TRANSMISSAO LOCAL","18","0","1",0.746367869330185,1.27868235692551,2.01908499064692,2.97143433073518,NA,NA,"Baixo","Moderado","Moderado"
"Alto Garcas",5100409,"CASOS ISOLADOS","6","1","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Alto Paraguai",5100508,"CASOS ISOLADOS","0","1","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Alto Taquari",5100607,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Apiacas",5100805,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Araguaiana",5101001,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Araguainha",5101209,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Araputanga",5101258,"TRANSMISSAO LOCAL","9","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Arenapolis",5101308,"TRANSMISSAO LOCAL","6","4","0",0.729113316545712,1.47007657276121,2.59765339085911,5.18838818552914,NA,NA,"Baixo","Moderado","Moderado"
"Aripuana",5101407,"TRANSMISSAO LOCAL","4","33","1",0.279204730459767,0.619975324173975,1.16591628683702,0.873135145440009,-0.396778711484594,-0.396778711484594,"Muito baixo","Moderado","Moderado"
"Barao de Melgaco",5101605,"CASOS ISOLADOS","0","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Barra do Bugres",5101704,"CASOS ISOLADOS","6","0","1",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Barra do Garcas",5101803,"TRANSMISSAO COMUNITARIA","41","51","7",0.266796321140001,0.562001118587681,1.02191485288671,1.00159791928479,0.605084713311162,0.605084713311162,"Moderado","Moderado","Alto"
"Bom Jesus do Araguaia",5101852,"TRANSMISSAO LOCAL","16","2","0",1.08692460855321,1.98923785284968,3.29150809005922,1.75177245493486,NA,NA,"Baixo","Moderado","Moderado"
"Brasnorte",5101902,"CASOS ISOLADOS","2","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Caceres",5102504,"TRANSMISSAO COMUNITARIA","28","23","5",0.817491447852157,1.31609939253238,1.98548112460975,1.30574201450484,0.377931592217306,0.377931592217306,"Moderado","Moderado","Alto"
"Campinapolis",5102603,"CASOS ISOLADOS","3","0","0",NA,NA,NA,NA,NA,NA,"Muito baixo","Moderado","Moderado"
"Campo Novo do Parecis",5102637,"TRANSMISSAO LOCAL","33","23","0",1.06481755038508,1.57171707755386,2.21868822053506,1.32979672367454,0.471031746031746,0.471031746031746,"Baixo","Moderado","Moderado"
"Campo Verde",5102678,"TRANSMISSAO COMUNITARIA","59","59","0",0.796450727589286,1.06925305546517,1.39824255859273,1.21719463837096,0.380852761157288,0.380852761157288,"Moderado","Moderado","Alto"
"Campos de Julio",5102686,"TRANSMISSAO LOCAL","8","6","0",0.279585535868852,0.804391444818851,1.76373517843426,1.08139159532725,NA,NA,"Muito baixo","Moderado","Moderado"
