"municipio";"cod_ibge";"classificacao_epidemiologica";"infectados_n";"recuperados_n";"obitos_n";"r_025";"r_500";"r_975";"r_mm7";"n_va";"p_va";"to_uti";"ia_cat";"iv_cat";"risco"
"Acorizal";5100102;"TRANSMISSAO LOCAL";"5";"12";"1";0,980823458925017;2,52574668422789;5,19760375039943;1,28792259525264;-0,154761904761905;-0,154761904761905;0,766;"Baixo";"Alto";"Alto"
"Agua Boa";5100201;"TRANSMISSAO LOCAL";"4";"7";"1";0,476856397944544;1,37195654890264;3,00819712115136;1,48209893246878;1,30952380952381;1,30952380952381;0,766;"Moderado";"Alto";"Alto"
"Alta Floresta";5100250;"TRANSMISSAO COMUNITARIA";"49";"53";"3";0,974243771983823;1,26113911067057;1,59951618868624;2,25350273297553;24,2380952380952;24,2380952380952;0,766;"Moderado";"Alto";"Alto"
"Alto Araguaia";5100300;"TRANSMISSAO LOCAL";"8";"8";"2";1,05463816589561;2,22157421963689;4,03959995229607;2,48193632003638;0;0;0,766;"Baixo";"Alto";"Alto"
"Alto Boa Vista";5100359;"TRANSMISSAO LOCAL";"7";"12";"1";0,040186568294699;0,278465822374614;0,924428779069387;0,829214782189334;6,59880952380952;6,59880952380952;0,766;"Baixo";"Alto";"Alto"
"Alto Garcas";5100409;"CASOS ISOLADOS";"5";"3";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Alto Paraguai";5100508;"CASOS ISOLADOS";"2";"2";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Alto Taquari";5100607;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Apiacas";5100805;"CASOS ISOLADOS";"2";"2";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Araguaiana";5101001;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Araguainha";5101209;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Araputanga";5101258;"TRANSMISSAO LOCAL";"1";"0";"0";-999;-999;-999;-999;;;0,766;"Muito baixo";"Alto";"Alto"
"Arenapolis";5101308;"TRANSMISSAO LOCAL";"2";"12";"0";0,361700278126835;0,931424783787721;1,91673099272422;1,18079483765819;;;0,766;"Muito baixo";"Alto";"Alto"
"Aripuana";5101407;"TRANSMISSAO LOCAL";"5";"39";"2";0,583837904594595;1,17716465514685;2,08007243615766;0,865554064525195;-0,464960529666412;-0,464960529666412;0,766;"Baixo";"Alto";"Alto"
"Barao de Melgaco";5101605;"CASOS ISOLADOS";"3";"0";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Barra do Bugres";5101704;"CASOS ISOLADOS";"4";"5";"1";0,749435434289301;1,92989273041419;3,97142665022869;1,24442857438847;;;0,766;"Baixo";"Alto";"Alto"
"Barra do Garcas";5101803;"TRANSMISSAO COMUNITARIA";"69";"54";"7";1,04008215281046;1,50477978140959;2,09090693276404;1,18371865323298;0,0143520566121185;0,0143520566121185;0,766;"Moderado";"Alto";"Alto"
"Bom Jesus do Araguaia";5101852;"TRANSMISSAO LOCAL";"6";"13";"0";0,164845452040085;0,474274432424647;1,03990974305759;1,37671584595182;4,20634920634921;4,20634920634921;0,766;"Baixo";"Alto";"Alto"
"Brasnorte";5101902;"CASOS ISOLADOS";"3";"0";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Caceres";5102504;"TRANSMISSAO COMUNITARIA";"47";"35";"5";1,20215529551244;1,68389832704851;2,27992005092998;1,38484744979846;0,992354669140383;0,992354669140383;0,766;"Moderado";"Alto";"Alto"
"Campinapolis";5102603;"CASOS ISOLADOS";"4";"0";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Campo Novo do Parecis";5102637;"TRANSMISSAO LOCAL";"31";"53";"1";1,35125839247263;1,80297991748233;2,34570981782913;1,55456778015524;1,43678702250131;1,43678702250131;0,766;"Moderado";"Alto";"Alto"
"Campo Verde";5102678;"TRANSMISSAO COMUNITARIA";"68";"81";"0";-999;-999;-999;-999;0,282260060025903;0,282260060025903;0,766;"Moderado";"Alto";"Alto"
"Campos de Julio";5102686;"TRANSMISSAO LOCAL";"25";"20";"1";1,51337551544201;2,17637534967151;3,00963497316218;1,69603935521859;0,910204081632653;0,910204081632653;0,766;"Baixo";"Alto";"Alto"
"Canabrava do Norte";5102694;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Canarana";5102702;"TRANSMISSAO LOCAL";"14";"15";"1";0,34127401683745;0,757800445832492;1,42510814143391;1,22507948570589;0,625056689342404;0,625056689342404;0,766;"Baixo";"Alto";"Alto"
"Carlinda";5102793;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Castanheira";5102850;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Chapada Dos Guimaraes";5103007;"TRANSMISSAO LOCAL";"0";"0";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Claudia";5103056;"CASOS ISOLADOS";"6";"0";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Cocalinho";5103106;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Colider";5103205;"TRANSMISSAO LOCAL";"29";"26";"2";1,52426515118437;2,13508816010631;2,89081010921946;1,62040410130489;;;0,766;"Baixo";"Alto";"Alto"
"Colniza";5103254;"CASOS ISOLADOS";"2";"0";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Comodoro";5103304;"TRANSMISSAO LOCAL";"6";"8";"1";0,895705927726725;1,8867866361766;3,43083887907993;2,19017649273498;;;0,766;"Baixo";"Alto";"Alto"
"Confresa";5103353;"TRANSMISSAO COMUNITARIA";"90";"152";"4";0,737128810105992;0,960598323807726;1,22525033511496;0,990251140096592;-0,0599813400141931;-0,0599813400141931;0,766;"Moderado";"Alto";"Alto"
"Conquista D'Oeste";5103361;"TRANSMISSAO LOCAL";"0";"0";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Cotriguacu";5103379;"CASOS ISOLADOS";"3";"4";"1";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Cuiaba";5103403;"TRANSMISSAO COMUNITARIA";"1544";"406";"71";1,09819137457419;1,18679144143657;1,28003359835932;1,16733404639436;0,379417474043769;0,379417474043769;0,766;"Moderado";"Alto";"Alto"
"Curvelandia";5103437;"CASOS ISOLADOS";"3";"3";"1";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Denise";5103452;"CASOS ISOLADOS";"1";"3";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Diamantino";5103502;"CASOS ISOLADOS";"8";"4";"1";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Dom Aquino";5103601;"CASOS ISOLADOS";"6";"6";"1";-999;-999;-999;-999;;;0,766;"Muito baixo";"Alto";"Alto"
"Feliz Natal";5103700;"CASOS ISOLADOS";"14";"2";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Figueiropolis D'Oeste";5103809;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Gaucha do Norte";5103858;"CASOS ISOLADOS";"2";"0";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"General Carneiro";5103908;"CASOS ISOLADOS";"3";"0";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Gloria D'Oeste";5103957;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Guaranta do Norte";5104104;"TRANSMISSAO COMUNITARIA";"32";"27";"1";0,422284902130676;0,754101256156849;1,2265019703267;0,92992421879789;0,189793437220068;0,189793437220068;0,766;"Moderado";"Alto";"Alto"
"Guiratinga";5104203;"CASOS ISOLADOS";"10";"2";"0";0,797007191774978;1,76975795243872;3,32818023565179;1,58581139554647;;;0,766;"Baixo";"Alto";"Alto"
"Indiavai";5104500;"CASOS ISOLADOS";"0";"0";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Ipiranga do Norte";5104526;"CASOS ISOLADOS";"0";"5";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Itanhanga";5104542;"CASOS ISOLADOS";"1";"1";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Itauba";5104559;"CASOS ISOLADOS";"1";"0";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Itiquira";5104609;"TRANSMISSAO LOCAL";"4";"5";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Jaciara";5104807;"TRANSMISSAO LOCAL";"21";"52";"0";-999;-999;-999;-999;0,698268398268398;0,698268398268398;0,766;"Baixo";"Alto";"Alto"
"Jangada";5104906;"TRANSMISSAO LOCAL";"1";"8";"1";0,0684526000258561;1,87408510007509;9,97374614629942;1,34422232447695;-0,857142857142857;-0,857142857142857;0,766;"Baixo";"Alto";"Alto"
"Jauru";5105002;"CASOS ISOLADOS";"0";"1";"1";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Juara";5105101;"TRANSMISSAO LOCAL";"4";"2";"1";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
"Juina";5105150;"TRANSMISSAO LOCAL";"5";"11";"2";0,241485372625896;0,813631646347926;1,94259608149144;1,16841823866693;;;0,766;"Muito baixo";"Alto";"Alto"
"Juruena";5105176;"CASOS ISOLADOS";"1";"0";"0";;;;;;;0,766;"Muito baixo";"Alto";"Alto"
